Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\HJvBB\Th9d8c.cfr
Action Line,Root CHECK BET 11
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 46 freq,CALL freq,FOLD freq
6c 4d 2c,39.6592,45.26,15.8287,77.7224,54.74,38.6713,126.146,19.47,59.19,21.34
6c 4d 3c,22.7118,45.73,16.2107,78.775,54.27,38.2893,125.988,20.07,58.33,21.60
6c 5c 2c,82.5413,47.32,17.4095,81.7592,52.68,37.0906,125.725,8.42,68.52,23.05
6c 5c 2d,37.6789,45.65,15.9317,77.5498,54.35,38.5683,126.727,20.08,58.85,21.07
6c 5c 3c,62.844,47.46,17.4331,81.6349,52.54,37.0669,125.971,7.70,70.71,21.59
6c 5c 3d,21.7687,46.20,16.4282,79.0207,53.80,38.0718,126.365,20.54,58.23,21.24
6c 5c 4c,66.753,47.63,17.0919,79.7466,52.37,37.4081,127.55,5.88,74.54,19.58
6c 5c 4d,17.2751,47.00,16.4961,77.9917,53.00,38.0039,128.051,18.23,61.88,19.89
6c 5d 5c,41.0154,44.57,15.5634,77.5897,55.43,38.9367,125.447,21.24,56.11,22.65
6c 5d 2c,36.7302,45.73,15.92,77.3557,54.27,38.58,126.954,20.19,58.58,21.23
6c 5d 3c,19.1057,46.29,16.4298,78.8808,53.71,38.0702,126.564,20.56,58.02,21.41
6c 5d 4c,16.4777,47.10,16.5306,77.9948,52.90,37.9694,128.169,18.03,62.18,19.80
6d 6c 2c,38.7567,43.06,15.0014,77.4256,56.94,39.4986,123.864,21.79,50.30,27.91
6d 6c 3c,35.2702,43.14,15,77.2695,56.86,39.5,124.05,22.16,50.56,27.28
6d 6c 4c,37.781,43.99,15.3121,77.3524,56.01,39.1879,124.938,20.67,55.76,23.56
6d 6c 5c,47.1099,44.54,15.551,77.5802,55.46,38.949,125.419,20.97,56.80,22.23
6h 6d 6c,100,41.78,13.9712,74.3155,58.22,40.5288,124.304,13.14,61.80,25.05
6d 3c 2c,35.2935,44.52,15.6334,78.0276,55.48,38.8666,125.107,20.51,56.00,23.49
6d 4c 2c,39.1816,45.35,15.8759,77.7903,54.65,38.6241,126.212,19.56,58.94,21.51
6d 4c 3c,24.7588,45.76,16.2002,78.668,54.24,38.2998,126.098,19.83,58.69,21.48
6d 5c 2c,34.5378,45.79,15.9648,77.4832,54.21,38.5353,126.931,20.16,58.54,21.30
6d 5c 3c,18.7755,46.30,16.452,78.9701,53.70,38.048,126.514,20.33,58.32,21.36
6d 5c 4c,18.3175,47.08,16.5317,78.0372,52.92,37.9684,128.11,18.13,61.95,19.93
6h 6d 2c,39.3136,42.65,14.6663,76.4186,57.35,39.8337,124.029,21.20,53.89,24.92
