Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\Th9d8c.cfr
Action Line,Root BET 152 RAISE 366 RAISE 880
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,CALL freq,FOLD freq
6c 5c 4c,0,79.72,1524.33,129.54,20.28,-49.8261,-25.5437,87.91,12.09
6c 5c 4d,0.09662,56.27,1118.85,134.722,43.73,355.649,84.5338,100.00,0.00
6c 5d 5c,0.24333,63.93,1260.63,133.588,36.07,213.869,61.6421,89.45,10.55
6c 5d 2c,0.00214,54.89,1091.48,134.721,45.11,383.013,88.2601,100.00,0.00
6c 5d 3c,0.00072,45.54,905.523,134.722,54.46,568.971,108.598,100.00,0.00
6c 5d 4c,0.09455,56.29,1119.32,134.722,43.71,355.178,84.4672,100.00,0.00
6d 6c 2c,0.54446,63.70,1252.84,133.242,36.30,221.657,63.4822,89.81,10.19
6d 6c 3c,0.31579,63.96,1261.55,133.64,36.04,212.951,61.4151,90.48,9.52
6d 6c 4c,0.69755,63.56,1246.18,132.83,36.44,228.319,65.1354,88.64,11.36
6d 6c 5c,0.31465,64.39,1267.35,133.349,35.61,207.152,60.4699,90.34,9.66
6h 6d 6c,9.48846,64.28,1264.62,133.286,35.72,209.885,61.0827,82.12,17.88
6d 3c 2c,0.02543,56.83,1117.77,133.251,43.17,356.73,85.9027,91.29,8.71
6d 4c 2c,0.02947,65.03,1287.47,134.143,34.97,187.031,55.5881,97.36,2.64
6d 4c 3c,0.00707,62.47,1242.15,134.722,37.53,232.352,64.3505,100.00,0.00
6d 5c 2c,0.00125,53.23,1057.6,134.605,46.77,416.895,92.6624,94.22,5.78
6d 5c 3c,0.00096,48.08,956.141,134.721,51.92,518.364,103.789,100.00,0.00
6d 5c 4c,0.09028,57.27,1138.83,134.722,42.73,335.672,81.6606,100.00,0.00
6h 6d 2c,2.5161,64.18,1261.83,133.206,35.82,212.667,61.7144,80.94,19.06
6h 6d 3c,1.87346,64.19,1261.15,133.105,35.81,213.355,61.9382,80.21,19.79
6h 6d 4c,2.44841,62.60,1232.34,133.381,37.40,242.162,67.2996,78.75,21.25
6h 6d 5c,2.26264,63.72,1254.34,133.363,36.28,220.162,63.0855,79.27,20.73
6h 2d 2c,2.42607,65.13,1279.17,133.072,34.87,195.326,58.2222,79.13,20.87
6h 3d 3c,2.97666,64.57,1269.73,133.235,35.43,204.772,60.0731,79.25,20.75
6h 3d 2c,0.70054,68.08,1335.76,132.925,31.92,138.738,45.1846,81.10,18.90
6h 4d 4c,2.11777,64.08,1263.41,133.569,35.92,211.094,61.0956,78.80,21.20
6h 4d 2c,0.91442,68.83,1353.71,133.25,31.17,120.794,40.283,81.18,18.82
6h 4d 3c,0.59959,67.74,1325.58,132.57,32.26,148.92,47.9923,81.20,18.80
6h 5d 5c,1.72981,64.96,1281.53,133.668,35.04,192.971,57.2394,80.89,19.11
6h 5d 2c,0.63058,69.84,1373.01,133.2,30.16,101.494,34.977,81.21,18.79
6h 5d 3c,0.30643,69.15,1356.01,132.85,30.85,118.483,39.9282,81.92,18.08
6h 5d 4c,0.19529,68.14,1338.88,133.131,31.86,135.62,44.243,86.61,13.39
7c 2d 2c,1.4252,65.30,1275.83,132.363,34.70,198.673,59.5231,86.00,14.00
7c 3c 2c,0.00028,64.64,1285.45,134.723,35.36,189.045,55.5813,100.00,0.00
7c 3c 2d,0.00394,61.01,1213.15,134.722,38.99,261.354,69.6757,100.00,0.00
7c 3d 3c,1.1458,64.63,1266.12,132.726,35.37,208.382,61.2416,86.76,13.24
7c 3d 2c,0.00337,63.09,1254.57,134.723,36.91,219.929,61.9416,100.00,0.00
7c 4c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 4c 2d,0.62178,66.31,1305.67,133.404,33.69,168.827,52.0913,91.93,8.07
7c 4c 3c,0.00001,76.01,1445.71,128.856,23.99,28.7853,12.4748,86.68,13.32
7c 4c 3d,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 4d 4c,1.04799,65.03,1278.53,133.199,34.97,195.968,58.2548,87.63,12.37
7c 4d 2c,0.4717,65.74,1293.83,133.347,34.26,180.669,54.8126,92.53,7.47
7c 4d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 5c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 5c 2d,0.61483,66.25,1301.57,133.11,33.75,172.926,53.2569,91.44,8.56
7c 5c 3c,0.00265,57.58,1144.93,134.721,42.42,329.572,80.7563,100.00,0.00
7c 5c 3d,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 5c 4c,0.00005,66.20,1302.82,133.332,33.80,171.679,52.8004,95.23,4.77
7c 5c 4d,0.22825,61.12,1215.33,134.722,38.88,259.168,69.2878,100.00,0.00
7c 5d 5c,0.54734,63.63,1253.26,133.433,36.37,221.243,63.2408,88.80,11.20
7c 5d 2c,0.30465,64.64,1268.23,132.931,35.36,206.276,60.6354,91.77,8.23
7c 5d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 5d 4c,0.20181,61.19,1216.74,134.722,38.81,257.761,69.0373,100.00,0.00
7c 6c 2c,0.00021,60.01,1167.65,131.821,39.99,306.833,79.7624,86.38,13.62
7c 6c 2d,0.00591,54.95,1092.85,134.731,45.05,381.653,88.074,98.78,1.22
7c 6c 3c,0.00004,77.49,1461,127.743,22.51,13.5053,6.23571,84.13,15.87
7c 6c 3d,0.01857,55.82,1107.72,134.444,44.18,366.784,86.3028,99.06,0.94
7c 6c 4c,0.0001,45.24,906.363,135.731,54.76,568.14,107.852,91.35,8.65
7c 6c 4d,0.29194,57.60,1145.38,134.722,42.40,329.121,80.6893,100.00,0.00
7c 6c 5c,0.00001,78.87,1515.67,130.192,21.13,-41.1812,-20.2625,89.15,10.85
7c 6c 5d,0.22802,52.04,1034.79,134.722,47.96,439.713,95.3025,100.00,0.00
7c 6d 6c,0.34625,61.40,1218.78,134.482,38.60,255.72,68.8666,94.04,5.96
7c 6d 2c,0.00156,54.53,1084.37,134.723,45.47,390.135,89.1931,100.00,0.00
7c 6d 3c,0.01493,54.89,1084.76,133.887,45.11,389.746,89.8169,94.96,5.04
7c 6d 4c,0.25471,58.28,1158.84,134.722,41.72,315.663,78.645,100.00,0.00
7c 6d 5c,0.26785,53.19,1057.68,134.722,46.81,416.819,92.562,100.00,0.00
7d 7c 2c,0.80159,63.80,1251.25,132.872,36.20,223.253,64.1084,88.85,11.15
7d 7c 3c,0.40537,63.12,1243.18,133.445,36.88,231.319,65.1945,89.85,10.15
7d 7c 4c,0.99218,64.54,1267.41,133.048,35.46,207.092,60.7062,88.28,11.72
7d 7c 5c,0.77345,63.74,1253.79,133.269,36.26,220.708,63.2727,88.22,11.78
7d 7c 6c,0.35137,61.67,1224.62,134.545,38.33,249.881,67.7605,94.91,5.09
7h 7d 7c,9.15609,64.85,1281.55,133.888,35.15,192.951,57.0605,82.39,17.61
7d 3c 2c,0.00195,57.81,1149.57,134.721,42.19,324.936,80.0612,100.00,0.00
7d 4c 2c,0.51513,65.08,1280.66,133.316,34.92,193.836,57.706,91.65,8.35
7d 4c 3c,0.00054,48.90,972.467,134.723,51.10,502.021,102.133,100.00,0.00
7d 5c 2c,0.50026,65.00,1275.43,132.934,35.00,199.069,59.1282,90.96,9.04
7d 5c 3c,0.00185,62.89,1250.65,134.721,37.11,223.84,62.7084,100.00,0.00
7d 5c 4c,0.18842,60.98,1212.68,134.722,39.02,261.815,69.7566,100.00,0.00
7d 6c 2c,0.00531,53.32,1060,134.697,46.68,414.501,92.298,99.64,0.36
7d 6c 3c,0.04706,54.92,1085.7,133.934,45.08,388.8,89.6543,95.37,4.63
7d 6c 4c,0.301,58.88,1170.75,134.723,41.12,303.75,76.7796,100.00,0.00
7d 6c 5c,0.25149,52.94,1052.67,134.723,47.06,421.837,93.1744,100.00,0.00
7h 7d 2c,3.06938,63.16,1247.17,133.787,36.84,227.332,64.1414,81.89,18.11
7h 7d 3c,2.64646,64.52,1271.96,133.574,35.48,202.54,59.3328,81.31,18.69
7h 7d 4c,3.45288,63.25,1247.62,133.648,36.75,226.877,64.1672,80.12,19.88
7h 7d 5c,3.20058,64.58,1270.39,133.277,35.42,204.107,59.9007,79.31,20.69
7h 7d 6c,1.94401,63.91,1266.24,134.224,36.09,208.258,59.9922,86.12,13.88
7h 2d 2c,2.88391,64.16,1264.57,133.525,35.84,209.933,60.8963,79.26,20.74
7h 3d 3c,3.47068,62.87,1239.68,133.589,37.13,234.818,65.7423,79.47,20.53
7h 3d 2c,1.8365,68.53,1347.67,133.24,31.47,126.827,41.889,83.21,16.79
7h 4d 4c,3.00822,62.97,1243.67,133.815,37.03,230.824,64.7918,79.01,20.99
7h 4d 2c,1.9587,67.90,1340.45,133.752,32.10,134.056,43.4101,80.85,19.15
