Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\HJvBB\2c2d2h.cfr
Action Line,Root CHECK
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 11 freq,CHECK freq
6c 5d 5c,100,47.10,19.5777,92.3705,52.90,23.9223,100.492,41.02,58.98
6c 5d 2c,100,48.83,20.5064,93.3206,51.17,22.9935,99.8594,36.73,63.27
6c 5d 3c,100,50.10,21.922,97.2459,49.90,21.578,96.0848,19.11,80.89
6c 5d 4c,100,51.35,22.5033,97.3914,48.65,20.9967,95.9016,16.48,83.52
6d 6c 2c,100,44.96,18.6319,92.0906,55.04,24.868,100.405,38.76,61.24
6d 6c 3c,100,45.20,18.9221,93.0325,54.80,24.5778,99.6637,35.27,64.73
6d 6c 4c,100,46.45,19.3906,92.7686,53.55,24.1094,100.048,37.78,62.22
6d 6c 5c,100,46.75,19.1181,90.8799,53.25,24.3819,101.746,47.11,52.89
6h 6d 6c,100,41.78,13.9712,74.3155,58.22,29.5288,112.705,100.00,0.00
6d 3c 2c,100,47.28,19.9802,93.9111,52.72,23.5198,99.1376,35.29,64.71
6d 4c 2c,100,48.32,20.1984,92.8852,51.68,23.3016,100.202,39.18,60.82
6d 4c 3c,100,49.43,21.3783,96.1183,50.57,22.1217,97.2023,24.76,75.24
6d 5c 2c,100,48.96,20.6834,93.883,51.04,22.8166,99.3363,34.54,65.46
6d 5c 3c,100,50.10,21.944,97.3289,49.90,21.556,96.0013,18.78,81.22
6d 5c 4c,100,51.21,22.3526,96.9962,48.79,21.1474,96.3205,18.32,81.68
6h 6d 2c,100,44.65,18.5934,92.5394,55.35,24.9066,99.996,39.31,60.69
6h 6d 3c,100,44.76,18.6323,92.4995,55.24,24.8677,100.043,39.96,60.04
6h 6d 4c,100,46.23,19.2921,92.7449,53.77,24.2079,100.038,38.64,61.36
6h 6d 5c,100,46.78,19.4908,92.5899,53.22,24.0092,100.25,40.70,59.30
6h 2d 2c,100,44.08,15.8462,79.8939,55.92,27.6538,109.886,84.49,15.51
6h 3d 3c,100,44.24,16.309,81.9223,55.76,27.191,108.365,79.05,20.95
