Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\LJvBB\Th9d8c.cfr
Action Line,Root CHECK BET 11
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 46 freq,CALL freq,FOLD freq
6c 4d 2c,38.8749,43.79,15.5993,79.1608,56.21,38.9007,123.584,21.16,52.96,25.89
6c 4d 3c,20.5138,44.69,16.0682,79.8956,55.31,38.4318,124.084,21.40,52.89,25.71
6c 5c 2c,87.9027,46.22,17.1415,82.4226,53.78,37.3585,124.036,9.31,64.16,26.53
6c 5c 2d,42.6728,44.53,15.9154,79.4231,55.47,38.5846,124.215,21.15,53.80,25.05
6c 5c 3c,69.2866,46.39,17.0844,81.8415,53.61,37.4156,124.626,7.73,68.06,24.21
6c 5c 3d,23.5869,45.30,16.3878,80.3939,54.70,38.1122,124.416,20.85,54.32,24.82
6c 5c 4c,76.1821,46.74,16.9263,80.4672,53.26,37.5737,125.989,6.28,72.13,21.59
6c 5c 4d,26.9255,45.83,16.435,79.6905,54.17,38.065,125.482,19.85,57.35,22.79
6c 5d 5c,49.2331,43.42,15.3099,78.3643,56.58,39.1901,123.677,21.64,52.77,25.58
6c 5d 2c,40.6923,44.59,15.8919,79.1998,55.41,38.6081,124.424,21.14,53.69,25.17
6c 5d 3c,20.9124,45.39,16.4099,80.3453,54.61,38.0901,124.546,20.72,54.47,24.81
6c 5d 4c,24.7566,45.87,16.4366,79.6236,54.13,38.0634,125.576,19.55,57.67,22.77
6d 6c 2c,33.0845,41.85,14.5737,77.3859,58.15,39.9263,122.609,22.41,45.66,31.94
6d 6c 3c,30.972,42.07,14.6473,77.3693,57.93,39.8527,122.848,22.58,46.70,30.72
6d 6c 4c,30.1905,42.61,14.8285,77.3303,57.39,39.6715,123.444,21.86,49.62,28.52
6d 6c 5c,47.5179,43.31,15.2956,78.4826,56.69,39.2044,123.491,21.35,53.22,25.43
6h 6d 6c,99.9998,40.45,13.5631,74.5037,59.55,40.9369,122.766,13.67,56.43,29.91
6d 3c 2c,46.5763,43.35,15.4392,79.1525,56.65,39.0608,123.118,21.54,51.84,26.61
6d 4c 2c,36.3615,43.90,15.6412,79.181,56.10,38.8588,123.685,21.13,52.80,26.07
6d 4c 3c,21.0657,44.70,16.0638,79.8669,55.30,38.4362,124.107,21.24,53.12,25.64
6d 5c 2c,38.2495,44.65,15.9321,79.2888,55.35,38.5679,124.435,21.15,53.68,25.17
6d 5c 3c,20.7186,45.40,16.4074,80.307,54.60,38.0926,124.587,20.66,54.52,24.81
6d 5c 4c,26.614,45.86,16.4307,79.6169,54.14,38.0693,125.566,19.81,57.29,22.90
6h 6d 2c,34.4015,41.37,14.2352,76.4635,58.63,40.2648,122.638,22.59,47.30,30.11
6h 6d 3c,35.6656,41.55,14.2638,76.2955,58.45,40.2362,122.916,22.37,49.20,28.43
6h 6d 4c,32.9871,42.12,14.3823,75.8743,57.88,40.1177,123.778,21.27,53.13,25.60
6h 6d 5c,43.3532,42.94,15.0256,77.7609,57.06,39.4744,123.536,21.20,56.07,22.73
6h 2d 2c,99.9631,42.17,14.2136,74.9095,57.83,40.2864,124.389,19.77,59.00,21.23
6h 3d 3c,88.8668,42.15,14.6891,77.4373,57.85,39.8109,122.896,21.57,56.30,22.13
6h 3d 2c,39.5869,42.55,15.0138,78.4048,57.45,39.4863,122.742,22.30,53.04,24.66
6h 4d 4c,62.498,42.41,14.5935,76.4673,57.59,39.9065,123.74,21.69,54.56,23.75
6h 4d 2c,27.8514,43.09,15.3201,79.0153,56.91,39.1799,122.93,21.27,54.95,23.77
6h 4d 3c,9.44213,43.90,16.0056,81.0141,56.10,38.4944,122.538,22.45,52.13,25.41
6h 5d 5c,44.3012,43.02,15.0562,77.7661,56.98,39.4438,123.623,21.51,55.64,22.85
6h 5d 2c,27.3705,43.76,15.6147,79.3008,56.24,38.8853,123.46,20.46,57.08,22.46
6h 5d 3c,6.1763,44.61,16.287,81.1396,55.39,38.213,123.186,21.47,53.92,24.61
6h 5d 4c,10.7084,45.47,16.3301,79.8065,54.53,38.1699,124.999,20.09,56.96,22.94
7c 2d 2c,99.9875,42.02,14.1668,74.9177,57.98,40.3333,124.226,20.33,49.58,30.10
7c 3c 2c,98.3443,44.52,16.2307,81.0167,55.48,38.2693,123.174,11.61,57.83,30.55
7c 3c 2d,82.3661,43.20,15.2302,78.347,56.80,39.2698,123.456,21.15,53.82,25.03
7c 3d 3c,91.9709,42.62,15.04,78.4146,57.38,39.46,122.808,22.65,50.89,26.45
7c 3d 2c,80.9431,43.21,15.2329,78.3471,56.79,39.2671,123.464,21.11,53.74,25.14
7c 4c 2c,91.2074,45.07,16.5304,81.505,54.93,37.9697,123.435,12.01,58.60,29.40
7c 4c 2d,62.4353,43.27,15.3062,78.6007,56.73,39.1938,123.381,20.72,53.71,25.57
7c 4c 3c,79.1745,45.76,16.5952,80.5864,54.24,37.9048,124.797,9.10,65.44,25.45
7c 4c 3d,33.4654,44.16,15.4762,77.8794,55.84,39.0238,124.795,19.77,54.47,25.76
7c 4d 4c,64.1414,42.63,14.9776,78.0715,57.37,39.5224,123.023,22.37,50.25,27.38
7c 4d 2c,64.6146,43.32,15.3064,78.5194,56.68,39.1936,123.479,20.61,54.02,25.37
7c 4d 3c,35.4317,44.15,15.4766,77.892,55.85,39.0234,124.78,19.66,54.62,25.71
7c 5c 2c,98.0982,45.72,16.6717,81.0409,54.28,37.8283,124.438,10.40,62.24,27.36
7c 5c 2d,68.7346,44.17,15.5373,78.1745,55.83,38.9627,124.615,18.91,58.33,22.76
7c 5c 3c,90.0947,46.33,17.0055,81.5636,53.67,37.4945,124.757,8.21,67.62,24.17
7c 5c 3d,48.447,44.75,15.8424,78.6662,55.25,38.6576,124.95,19.41,57.32,23.26
7c 5c 4c,75.2779,46.53,17.0136,81.253,53.47,37.4864,125.195,7.63,69.98,22.38
7c 5c 4d,31.1509,45.32,16.1921,79.4007,54.68,38.3079,125.099,19.30,57.64,23.07
7c 5d 5c,49.4901,43.32,15.3077,78.5198,56.68,39.1923,123.483,21.97,51.76,26.27
7c 5d 2c,70.8345,44.24,15.5215,77.9606,55.76,38.9785,124.836,18.76,58.49,22.75
7c 5d 3c,51.2025,44.79,15.8167,78.4716,55.21,38.6833,125.12,19.22,57.56,23.22
7c 5d 4c,31.8376,45.35,16.2008,79.3867,54.65,38.2992,125.144,19.03,57.93,23.05
7c 6c 2c,99.9309,45.82,16.3982,79.5358,54.18,38.1018,125.571,8.61,64.66,26.73
7c 6c 2d,69.9131,44.77,15.593,77.4046,55.23,38.907,125.787,18.59,59.76,21.65
7c 6c 3c,92.4095,46.42,16.8206,80.5275,53.58,37.6794,125.573,7.48,70.06,22.46
7c 6c 3d,48.7864,45.23,15.8201,77.7283,54.77,38.6799,126.109,19.25,58.18,22.57
7c 6c 4c,74.4276,46.86,17.1628,81.3879,53.14,37.3372,125.471,7.54,70.52,21.93
7c 6c 4d,30.3328,45.87,16.3018,78.9758,54.13,38.1983,126.013,18.99,58.83,22.18
7c 6c 5c,70.5654,47.05,17.0786,80.6687,52.95,37.4213,126.196,6.43,72.77,20.81
7c 6c 5d,21.9522,46.46,16.4688,78.7641,53.54,38.0312,126.856,17.75,60.90,21.36
7c 6d 6c,53.7012,43.61,15.2165,77.5374,56.39,39.2835,124.401,21.56,53.44,24.99
7c 6d 2c,68.5879,44.86,15.6166,77.3567,55.14,38.8834,125.928,18.49,59.72,21.79
7c 6d 3c,48.32,45.30,15.8276,77.6492,54.70,38.6724,126.24,19.39,57.93,22.68
7c 6d 4c,28.4538,45.93,16.3432,79.0691,54.07,38.1569,126.021,19.05,58.72,22.23
7c 6d 5c,19.6495,46.52,16.4973,78.8141,53.48,38.0027,126.881,17.61,61.10,21.29
7d 7c 2c,51.4894,41.55,14.7027,78.6281,58.45,39.7974,121.593,23.01,43.71,33.27
7d 7c 3c,50.3349,42.10,14.7679,77.9429,57.90,39.7321,122.549,22.55,46.59,30.86
7d 7c 4c,43.3149,42.47,14.8364,77.6296,57.53,39.6636,123.116,22.08,49.06,28.86
7d 7c 5c,58.1718,43.22,15.3143,78.7339,56.78,39.1857,123.246,21.05,53.47,25.48
7d 7c 6c,61.3231,43.56,15.3002,78.0603,56.44,39.1998,124.018,21.23,54.25,24.52
7h 7d 7c,99.9979,40.07,12.7232,70.5522,59.92,41.7768,124.492,11.12,57.92,30.96
7d 3c 2c,79.2995,43.27,15.3271,78.7216,56.73,39.1729,123.299,21.04,53.58,25.37
7d 4c 2c,61.8237,43.37,15.3543,78.6726,56.63,39.1457,123.439,20.57,53.82,25.61
7d 4c 3c,34.1488,44.22,15.5119,77.96,55.78,38.9881,124.806,19.54,54.69,25.77
7d 5c 2c,68.631,44.28,15.5948,78.2662,55.72,38.9052,124.68,18.92,58.12,22.96
7d 5c 3c,49.4008,44.84,15.8876,78.7374,55.16,38.6124,125.001,19.13,57.63,23.25
7d 5c 4c,34.777,45.33,16.1946,79.391,54.67,38.3054,125.119,19.02,57.96,23.02
7d 6c 2c,69.6725,44.89,15.6665,77.5589,55.11,38.8335,125.826,18.55,59.71,21.74
