Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\2c2d2h.cfr
Action Line,Root
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 152 freq,CHECK freq
6c 5d 4c,100,49.74,92.2919,80.6733,50.26,136.208,117.829,21.43,78.57
6d 6c 2c,100,53.24,123.534,100.876,46.76,104.966,97.6077,57.05,42.95
6d 6c 3c,100,52.81,116.377,95.8121,47.19,112.123,103.305,50.65,49.35
6d 6c 4c,100,52.89,120.253,98.8514,47.11,108.247,99.905,56.31,43.69
6d 6c 5c,100,52.53,115.809,95.8466,47.47,112.691,103.222,53.91,46.09
6h 6d 6c,100,55.36,151.228,118.772,44.64,77.2726,75.2597,79.96,20.04
6d 3c 2c,100,50.95,100.784,86.0108,49.05,127.716,113.199,33.73,66.27
6d 4c 2c,100,51.58,110.602,93.2214,48.42,117.898,105.875,43.80,56.20
6d 4c 3c,100,51.05,102.296,87.1263,48.95,126.204,112.093,33.22,66.78
6d 5c 2c,100,51.07,105.34,89.6826,48.93,123.16,109.435,39.68,60.32
6d 5c 3c,100,50.61,98.4588,84.5915,49.39,130.041,114.466,30.63,69.37
6d 5c 4c,100,49.53,90.7011,79.612,50.47,137.799,118.719,19.57,80.43
6h 6d 2c,100,53.83,130.102,105.075,46.17,98.3985,92.6698,64.42,35.58
6h 6d 3c,100,53.44,122.971,100.045,46.56,105.53,98.5481,62.24,37.76
6h 6d 4c,100,53.39,125.884,102.513,46.61,102.616,95.7224,61.39,38.61
6h 6d 5c,100,53.22,123.751,101.095,46.78,104.749,97.3603,62.70,37.30
6h 2d 2c,100,53.89,135.676,109.468,46.11,92.8237,87.5216,62.74,37.26
6h 3d 3c,100,53.98,133.386,107.444,46.02,95.114,89.8529,65.27,34.73
6h 3d 2c,100,51.42,103.495,87.5128,48.58,125.005,111.874,43.78,56.22
6h 4d 4c,100,53.40,126.781,103.22,46.60,101.719,94.9097,62.82,37.18
