Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\BTNvBB\Th9d8c.cfr
Action Line,Root CHECK BET 12 RAISE 50
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 975 freq,CALL freq,FOLD freq
6c 4d 4c,7.06229,52.93,86.7251,146.285,47.07,23.7748,68.2605,0.00,65.07,34.93
6c 4d 2c,5.00302,53.99,86.9688,143.823,46.01,23.5312,69.1139,0.00,66.47,33.53
6c 4d 3c,4.89925,54.58,85.5871,139.997,45.42,24.9129,74.1295,0.00,65.34,34.66
6c 5c 2c,6.17424,57.01,89.2205,139.741,42.99,21.2795,66.8845,0.00,57.46,42.54
6c 5c 2d,5.08319,54.14,86.7852,143.125,45.86,23.7149,69.879,0.00,66.39,33.61
6c 5c 3c,5.47164,57.74,88.1681,136.336,42.26,22.3319,71.4124,0.00,58.33,41.67
6c 5c 3d,5.10673,55.02,86.0529,139.643,44.98,24.4472,73.4492,0.00,65.89,34.11
6c 5c 4c,6.87482,57.74,86.8553,134.303,42.26,23.6447,75.6125,0.00,59.07,40.93
6c 5c 4d,6.20482,56.08,85.476,136.087,43.92,25.024,76.995,0.00,66.00,34.00
6c 5d 5c,7.69037,53.76,85.8986,142.656,46.24,24.6014,71.9004,0.00,64.42,35.58
6c 5d 2c,5.04147,54.28,86.7898,142.766,45.72,23.7102,70.078,0.00,66.52,33.48
6c 5d 3c,4.8738,55.20,86.0623,139.205,44.80,24.4377,73.7139,0.00,65.92,34.07
6c 5d 4c,6.04781,56.18,85.4165,135.74,43.82,25.0835,77.3619,0.00,65.93,34.07
6d 6c 2c,10.0373,52.23,86.5261,147.903,47.77,23.9739,67.8246,0.00,64.90,35.10
6d 6c 3c,10.3436,52.79,86.5892,146.451,47.21,23.9108,68.4431,0.00,64.96,35.04
6d 6c 4c,8.80106,52.99,86.3457,145.476,47.01,24.1543,69.4406,0.00,64.77,35.23
6d 6c 5c,9.04399,53.74,85.6334,142.277,46.26,24.8666,72.6393,0.00,64.59,35.41
6h 6d 6c,5.38373,57.90,85.9585,132.559,42.10,24.5414,78.77,0.00,70.15,29.85
6d 3c 2c,8.12718,53.48,85.2809,142.366,46.52,25.2191,73.2658,0.00,67.54,32.46
6d 4c 2c,5.24548,53.95,86.9281,143.853,46.05,23.5719,69.1782,0.00,66.51,33.49
6d 4c 3c,5.0069,54.62,85.4754,139.72,45.38,25.0246,74.5221,0.00,65.22,34.78
6d 5c 2c,4.92952,54.32,86.821,142.711,45.68,23.679,70.048,0.00,66.45,33.55
6d 5c 3c,4.76484,55.25,86.0783,139.098,44.75,24.4217,73.7525,0.01,65.77,34.22
6d 5c 4c,6.50614,56.20,85.4561,135.757,43.80,25.0439,77.2734,0.00,65.91,34.09
6h 6d 2c,9.49411,48.87,86.3937,157.828,51.13,24.1063,63.7177,0.00,69.01,30.99
6h 6d 3c,9.95784,50.31,86.2267,153.034,49.69,24.2733,66.0097,0.00,68.96,31.04
6h 6d 4c,8.73755,50.99,85.968,150.526,49.01,24.5319,67.6456,0.00,67.84,32.16
