Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\3d3h2c.cfr
Action Line,Root BET 15 RAISE 60 RAISE 970
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,CALL freq,FOLD freq
6d 4c 2c,0.00105,74.01,1045.4,129.587,25.99,16.5212,35.3152,20.97,79.03
6d 4c 3c,0.00019,74.69,1095.49,134.558,25.31,-38.3837,-84.2602,26.26,73.74
6d 5c 2c,0.0008,73.01,1046.14,131.458,26.99,15.7244,32.3657,21.02,78.98
6d 5c 3c,0.00028,73.38,1042.55,130.347,26.62,16.6036,34.6493,24.01,75.99
6d 5c 4c,0.00001,91.00,1184.03,119.369,9.00,-125.455,-774.475,24.64,75.36
6h 6d 2c,0.00009,92.02,1160.6,115.715,7.98,-97.0907,-675.665,19.22,80.78
6h 6d 3c,0.00008,90.45,1145.83,116.222,9.55,-80.8899,-470.597,17.65,82.35
6h 6d 4c,0.00007,89.16,1137.16,117.004,10.83,-71.1699,-364.96,16.49,83.51
6h 6d 5c,0.00015,87.72,1127.11,117.878,12.28,-60.7752,-274.957,16.12,83.88
6h 2d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
6h 3d 3c,0.00001,89.44,1150.74,118.041,10.56,-87.2117,-458.665,19.20,80.80
6h 3d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
6h 4d 4c,0.00004,88.81,1145.31,118.32,11.20,-78.8793,-391.429,16.01,83.99
6h 4d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
6h 4d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
6h 5d 5c,0.00017,86.42,1112.7,118.117,13.58,-45.2355,-185.107,14.88,85.12
6h 5d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
6h 5d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
6h 5d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 2d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 3c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 3c 2d,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 3d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 3d 2c,0.00342,68.67,1020.17,136.295,31.33,41.0398,72.7694,21.75,78.25
7c 4c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 4c 2d,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 4c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 4c 3d,0.0001,62.83,1019.64,148.893,37.17,37.6003,56.1962,26.10,73.90
7c 4d 4c,0.00003,85.74,1119.47,119.779,14.26,-52.4963,-204.581,15.42,84.58
7c 4d 2c,0.00125,68.90,1020.93,135.939,31.10,41.3492,73.8659,20.57,79.43
7c 4d 3c,0.00076,65.94,1023.88,142.459,34.06,33.359,54.4069,26.11,73.89
7c 5c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 5c 2d,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 5c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
