Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\Th9d8c.cfr
Action Line,Root BET 152
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 880 freq,RAISE 366 freq,CALL freq,FOLD freq
6c 4c 2d,45.1113,54.89,297.953,142.101,45.11,82.547,79.5599,3.60,0.77,65.73,29.90
6c 4c 3c,0.0003,90.40,531.583,153.931,9.60,-151.083,-684.432,0.10,2.24,52.50,45.16
6c 4c 3d,34.5554,54.66,290.318,139.048,45.34,90.1821,86.4736,5.36,0.70,62.36,31.57
6c 4d 4c,57.7699,55.17,297.969,141.386,44.83,82.5311,80.0423,0.49,4.80,64.70,30.01
6c 4d 2c,44.2952,54.85,296.903,141.704,45.15,83.597,80.5,3.85,0.49,65.58,30.08
6c 4d 3c,33.3688,54.60,289.125,138.613,45.40,91.3746,87.5129,5.84,0.17,62.37,31.61
6c 5c 2c,0.03899,55.52,318.311,150.086,44.48,62.1893,60.7881,0.14,0.89,55.39,43.59
6c 5c 2d,39.5896,54.68,290.278,138.966,45.32,90.2223,86.5589,3.34,0.01,66.84,29.81
6c 5c 3c,0.00022,80.50,439.982,143.084,19.50,-59.4288,-132.503,0.16,4.35,50.78,44.71
6c 5c 3d,30.1977,54.41,282.634,135.971,45.59,97.8661,93.342,5.30,0.00,63.58,31.12
6c 5c 4c,0.00007,95.77,617.674,168.843,4.23,-237.174,-2435.86,0.70,7.68,44.91,46.72
6c 5c 4d,20.3011,53.63,276.519,134.973,46.37,103.981,97.4979,2.99,1.66,65.19,30.17
6c 5d 5c,52.8516,55.23,290.232,137.576,44.77,90.2682,87.6544,1.20,1.88,66.65,30.27
6c 5d 2c,39.3136,54.75,291.11,139.186,45.25,89.3897,85.893,3.61,0.02,66.39,29.99
6c 5d 3c,30.1123,54.45,283.244,136.175,45.55,97.2559,92.833,5.80,0.01,62.90,31.29
6c 5d 4c,21.4299,53.66,277.534,135.401,46.34,102.966,96.6019,3.34,1.51,64.97,30.19
6d 6c 2c,57.052,55.14,301.967,143.352,44.86,78.5332,76.1198,2.07,3.85,64.06,30.02
6d 6c 3c,50.6518,54.98,295.638,140.768,45.02,84.8625,81.9536,2.35,2.61,64.46,30.58
6d 6c 4c,56.3131,55.06,298.199,141.768,44.94,82.3005,79.6299,1.14,5.02,64.08,29.76
6d 6c 5c,53.9103,55.01,293.015,139.437,44.99,87.4849,84.5466,2.43,2.43,65.45,29.69
6h 6d 6c,79.9641,56.61,319.68,147.833,43.39,60.8204,60.9419,0.00,27.97,37.28,34.75
6d 3c 2c,33.7316,54.41,285.589,137.405,45.59,94.9108,90.5134,3.31,0.30,65.18,31.21
6d 4c 2c,43.7958,54.84,297.182,141.85,45.16,83.3182,80.2226,3.87,0.26,65.93,29.94
6d 4c 3c,33.2201,54.51,289.175,138.866,45.49,91.3256,87.293,5.77,0.08,62.67,31.48
6d 5c 2c,39.6795,54.75,291.927,139.577,45.25,88.5727,85.1076,3.54,0.01,66.55,29.89
6d 5c 3c,30.6332,54.42,283.817,136.531,45.58,96.6835,92.2212,5.69,0.01,63.05,31.24
6d 5c 4c,19.572,53.53,276.648,135.301,46.47,103.852,97.1572,2.88,1.58,65.68,29.85
6h 6d 2c,64.4158,55.36,307.172,145.263,44.64,73.3281,71.4132,0.00,12.97,59.12,27.91
6h 6d 3c,62.2384,55.05,299.207,142.282,44.95,81.2937,78.6324,0.00,9.78,63.35,26.87
6h 6d 4c,61.3945,55.20,304.273,144.308,44.80,76.2271,73.9719,0.00,11.28,61.99,26.73
6h 6d 5c,62.7043,55.05,300.065,142.696,44.95,80.4356,77.7977,0.00,9.79,64.42,25.78
6h 2d 2c,62.74,55.58,317.097,149.345,44.42,63.4028,62.0621,0.00,15.10,56.99,27.90
6h 3d 3c,65.2728,55.54,310.566,146.376,44.46,69.9337,68.3923,0.00,13.74,57.85,28.41
6h 3d 2c,43.7778,53.29,289.758,142.338,46.71,90.742,84.465,0.00,6.80,67.25,25.95
6h 4d 4c,62.8225,55.09,304.415,144.65,44.91,76.0845,73.6614,0.00,11.91,59.94,28.15
6h 4d 2c,47.8318,54.23,303.799,146.662,45.77,76.7015,72.8544,0.00,8.57,66.39,25.04
6h 4d 3c,43.2075,53.46,290.058,142.044,46.54,90.4417,84.4851,0.00,6.72,67.53,25.75
6h 5d 5c,63.5197,54.86,296.764,141.599,45.14,83.7363,80.6608,0.00,8.00,65.43,26.58
6h 5d 2c,46.1566,53.74,296.493,144.432,46.26,84.0067,78.9531,0.00,5.78,69.86,24.36
6h 5d 3c,39.404,53.04,284.551,140.429,46.96,95.9492,88.8438,0.00,3.90,71.32,24.77
6h 5d 4c,28.005,52.00,277.209,139.564,48.00,103.291,93.5527,0.39,3.59,70.46,25.55
7c 2d 2c,63.5258,55.61,309.972,145.929,44.39,70.5283,69.0727,0.62,8.46,59.94,30.99
7c 3c 2c,2.01026,53.04,301.896,149.003,46.96,78.6044,72.7753,0.00,0.04,56.87,43.09
7c 3c 2d,55.8622,54.54,294.014,141.12,45.46,86.4862,82.7162,6.51,0.03,62.45,31.01
7c 3d 3c,63.3197,55.35,306.517,144.961,44.65,73.9829,72.0462,1.08,6.99,61.54,30.39
7c 3d 2c,56.185,54.55,294.239,141.2,45.45,86.2615,82.5207,6.34,0.02,62.70,30.93
7c 4c 2c,8.31962,52.84,294.63,145.972,47.16,85.8701,79.1621,0.00,0.00,57.12,42.88
7c 4c 2d,57.5819,54.40,296.414,142.63,45.60,84.0865,80.1795,4.33,3.94,60.79,30.94
7c 4c 3c,0.00087,69.63,404.667,152.128,30.37,-24.172,-34.61,0.40,3.22,53.22,43.16
7c 4c 3d,38.2262,53.81,284.147,138.236,46.19,96.3531,90.6954,4.80,0.00,63.44,31.76
7c 4d 4c,61.9076,54.83,296.821,141.727,45.17,83.6791,80.5362,0.85,6.84,61.34,30.97
7c 4d 2c,56.7554,54.31,295.483,142.415,45.69,85.0173,80.909,4.64,3.22,61.15,30.99
7c 4d 3c,36.3146,53.80,283.289,137.851,46.20,97.211,91.4779,4.95,0.00,63.27,31.78
7c 5c 2c,6.95534,52.82,297.327,147.366,47.18,83.1731,76.6427,0.00,0.00,57.06,42.94
7c 5c 2d,55.2966,54.17,294.192,142.167,45.83,86.3083,81.8811,1.34,4.19,64.77,29.70
7c 5c 3c,0.33135,53.20,302.244,148.733,46.80,78.2557,72.6964,0.11,1.66,56.32,41.91
7c 5c 3d,41.9259,54.20,289.484,139.817,45.80,91.0157,86.402,5.11,0.00,64.12,30.76
7c 5c 4c,0.0043,62.63,335.217,140.119,37.37,45.2824,52.6806,0.12,3.20,52.88,43.80
7c 5c 4d,35.0528,54.19,286.973,138.62,45.81,93.5267,88.7741,3.48,2.20,63.99,30.33
7c 5d 5c,58.7165,54.67,290.889,139.277,45.33,89.6107,85.9586,0.63,3.75,65.15,30.47
7c 5d 2c,53.5481,54.07,292.805,141.759,45.93,87.6951,83.0151,3.26,2.20,64.52,30.02
7c 5d 3c,39.3074,54.13,287.921,139.232,45.87,92.5792,87.7595,5.13,0.00,64.08,30.78
7c 5d 4c,34.1904,54.14,286.403,138.482,45.86,94.097,89.2106,3.60,2.01,64.09,30.29
7c 6c 2c,0.07247,53.58,315.477,154.129,46.42,65.0229,60.9051,0.02,1.01,54.86,44.11
7c 6c 2d,48.5612,54.05,286.618,138.83,45.95,93.8821,88.8228,5.31,0.05,64.24,30.40
7c 6c 3c,0.00061,94.58,586.509,162.336,5.42,-206.008,-1652.42,0.78,7.78,45.52,45.92
7c 6c 3d,29.974,52.91,272.572,134.851,47.09,107.928,99.6569,2.40,0.24,69.45,27.91
7c 6c 4c,0.00372,53.56,292.335,142.878,46.44,88.1664,82.5449,0.32,4.93,52.49,42.25
7c 6c 4d,33.2189,53.89,283.012,137.468,46.11,97.4879,91.9316,5.78,3.00,61.06,30.17
7c 6c 5c,0.00064,41.70,276.754,173.743,58.30,103.747,77.37,1.93,11.01,45.28,41.77
7c 6c 5d,13.2065,52.46,270.981,135.222,47.54,109.519,100.162,5.54,5.61,60.23,28.61
7c 6d 6c,64.2429,54.70,288.317,137.983,45.30,92.1831,88.4745,4.95,1.79,64.53,28.74
7c 6d 2c,49.1748,54.13,288.618,139.58,45.87,91.8821,87.0909,5.67,0.01,63.77,30.55
7c 6d 3c,30.6557,52.98,273.931,135.362,47.02,106.569,98.534,2.91,0.19,68.72,28.18
7c 6d 4c,35.0581,54.03,284.999,138.087,45.97,95.5011,90.3228,6.89,2.41,60.21,30.49
7c 6d 5c,17.901,52.61,272.696,135.702,47.39,107.804,98.8952,6.09,4.90,60.54,28.47
7d 7c 2c,64.4908,55.29,301.761,142.862,44.71,78.739,76.5778,2.32,4.94,61.47,31.27
7d 7c 3c,59.0116,54.84,296.335,141.457,45.16,84.1648,81.0305,3.18,2.73,63.84,30.24
7d 7c 4c,63.0708,54.82,296.732,141.698,45.18,83.7677,80.6123,1.95,6.16,61.65,30.24
7d 7c 5c,62.2813,54.68,293.707,140.605,45.32,86.7933,83.2712,1.10,4.90,64.32,29.68
7d 7c 6c,66.2101,54.78,289.069,138.129,45.22,91.4308,87.917,5.10,1.75,64.31,28.84
7h 7d 7c,80.8685,56.79,324.109,149.412,43.21,56.3909,56.7356,0.00,28.55,35.95,35.49
7d 3c 2c,54.7944,54.48,293.6,141.076,45.52,86.8997,83.0025,6.42,0.01,62.28,31.28
7d 4c 2c,57.1245,54.31,295.553,142.47,45.69,84.9467,80.8278,4.25,3.52,61.20,31.03
7d 4c 3c,36.2015,53.81,284.407,138.357,46.19,96.0933,90.4548,4.53,0.01,63.75,31.71
7d 5c 2c,54.8164,54.11,293.29,141.902,45.89,87.2096,82.6192,2.02,3.55,64.26,30.17
7d 5c 3c,40.3602,54.16,289.413,139.88,45.84,91.0872,86.3988,4.80,0.02,64.37,30.82
7d 5c 4c,32.9878,54.03,285.417,138.285,45.97,95.083,89.9301,3.00,1.93,64.99,30.08
7d 6c 2c,49.6198,54.14,289.016,139.733,45.86,91.484,86.7421,5.61,0.04,63.70,30.65
7d 6c 3c,30.951,53.01,274.799,135.699,46.99,105.701,97.8064,2.41,0.60,68.74,28.24
7d 6c 4c,35.2576,54.09,285.808,138.318,45.91,94.6919,89.6802,6.27,2.92,60.25,30.57
7d 6c 5c,15.3163,52.59,273.316,136.051,47.41,107.184,98.2946,5.63,5.31,60.42,28.63
7h 7d 2c,72.0451,55.62,308.386,145.152,44.38,72.1142,70.6439,0.00,16.08,53.57,30.35
7h 7d 3c,67.2596,55.22,303.355,143.8,44.78,77.1446,74.9089,0.00,12.58,59.31,28.11
7h 7d 4c,67.8927,55.10,303.862,144.36,44.90,76.638,74.2139,0.00,14.78,56.61,28.61
7h 7d 5c,67.6974,54.75,299.987,143.444,45.25,80.5132,77.355,0.00,12.82,59.51,27.67
7h 7d 6c,74.5804,55.06,298.706,142.018,44.94,81.7938,79.1335,4.05,6.52,64.20,25.24
7h 2d 2c,68.2988,55.76,317.6,149.105,44.24,62.8999,61.8167,0.00,17.35,52.84,29.81
7h 3d 3c,69.4611,55.61,313.218,147.454,44.39,67.2817,65.8946,0.00,16.17,54.59,29.24
7h 3d 2c,56.8788,54.89,306.022,145.954,45.11,74.4775,71.7799,0.00,10.58,62.79,26.63
7h 4d 4c,67.5482,54.91,302.998,144.453,45.09,77.5018,74.7313,0.00,14.78,55.51,29.71
7h 4d 2c,56.1665,54.71,308.757,147.73,45.29,71.7431,68.8766,0.00,12.89,60.15,26.96
7h 4d 3c,46.7922,53.14,287.759,141.756,46.86,92.7411,86.0487,0.00,7.02,66.48,26.50
7h 5d 5c,66.7263,54.45,295.771,142.194,45.55,84.729,80.8777,0.00,11.16,60.46,28.37
7h 5d 2c,55.3577,54.29,304.551,146.861,45.71,75.9495,72.2353,0.00,10.38,63.80,25.82
7h 5d 3c,49.0471,53.52,292.513,143.089,46.48,87.9867,82.2959,0.00,6.45,68.41,25.14
7h 5d 4c,43.9025,53.24,286.388,140.822,46.76,94.1116,87.5023,0.04,6.61,67.47,25.87
7h 6d 6c,74.5776,54.97,296.772,141.332,45.03,83.7282,80.8417,3.29,6.90,65.01,24.80
7h 6d 2c,54.3501,53.96,297.26,144.224,46.04,83.2401,78.6008,0.00,6.66,69.01,24.33
7h 6d 3c,40.5497,52.58,277.475,138.134,47.42,103.025,94.4705,0.57,3.81,71.31,24.30
7h 6d 4c,41.8833,53.16,283.715,139.718,46.84,96.7848,89.8339,3.90,5.83,63.47,26.80
