Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\Th9d8c.cfr
Action Line,Root BET 152 RAISE 880
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,CALL freq,FOLD freq
6c 5d 3c,1.74753,42.91,204.019,89.0391,57.09,1056.48,146.634,56.04,43.96
6c 5d 4c,0.71478,42.34,197.367,87.3002,57.66,1063.13,146.094,57.04,42.96
6d 6c 2c,1.18217,43.92,242.358,103.333,56.08,1018.14,143.863,47.48,52.52
6d 6c 3c,1.18961,43.40,232.482,100.319,56.60,1028.02,143.915,47.92,52.08
6d 6c 4c,0.64401,44.38,238.477,100.623,55.62,1022.02,145.61,47.63,52.37
6d 6c 5c,1.30837,44.15,233.216,98.9183,55.85,1027.28,145.752,47.16,52.84
6h 6d 6c,0,nan,nan,nan,nan,nan,nan,nan,nan
6d 3c 2c,1.11708,41.92,196,87.5667,58.08,1064.5,145.22,50.15,49.85
6d 4c 2c,1.69673,43.78,223.036,95.4054,56.22,1037.46,146.221,51.52,48.48
6d 4c 3c,1.91548,42.16,200.45,89.0334,57.84,1060.05,145.227,56.96,43.04
6d 5c 2c,1.40608,44.05,222.899,94.7575,55.95,1037.6,146.952,52.11,47.89
6d 5c 3c,1.7445,42.65,200.456,88.011,57.35,1060.05,146.469,56.89,43.11
6d 5c 4c,0.56432,42.04,192.9,85.9308,57.96,1067.6,145.951,57.16,42.84
6h 6d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
6h 6d 3c,0.00001,38.89,190.78,91.8584,61.11,1069.72,138.714,48.46,51.54
6h 6d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
6h 6d 5c,0.00118,39.62,197.95,93.5666,60.38,1062.54,139.438,48.04,51.96
6h 2d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
6h 3d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
6h 3d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
6h 4d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
6h 4d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
6h 4d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
6h 5d 5c,0.00075,41.10,228.426,104.081,58.90,1032.07,138.844,47.53,52.47
