Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\HJvBB\Th9d8c.cfr
Action Line,Root CHECK BET 11 RAISE 46
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 980 freq,CALL freq,FOLD freq
6c 4d 4c,8.52184,52.56,77.688,144.904,47.44,22.812,71.7737,0.00,63.65,36.35
6c 4d 2c,7.72223,53.08,79.0242,145.964,46.92,21.4758,68.3117,0.00,65.31,34.69
6c 4d 3c,4.5586,54.10,78.8429,142.872,45.90,21.6571,70.4262,0.00,64.37,35.63
6c 5c 2c,6.95269,55.00,82.7315,147.484,45.00,17.7685,58.9279,0.00,55.82,44.18
6c 5c 2d,7.56656,53.54,78.5825,143.901,46.46,21.9176,70.4078,0.00,65.05,34.95
6c 5c 3c,4.83619,55.34,83.3685,147.705,44.66,17.1315,57.2484,0.00,56.70,43.30
6c 5c 3d,4.47094,54.49,79.0643,142.242,45.51,21.4357,70.3069,0.00,63.88,36.12
6c 5c 4c,3.92439,56.07,82.6133,144.449,43.93,17.8867,60.7715,0.00,57.12,42.88
6c 5c 4d,3.14917,55.47,78.1757,138.177,44.53,22.3243,74.8211,0.00,62.99,37.01
6c 5d 5c,8.71214,52.92,77.3572,143.319,47.08,23.1427,73.3634,0.00,62.84,37.16
6c 5d 2c,7.4165,53.64,78.4089,143.321,46.36,22.0911,71.1149,0.00,65.21,34.79
6c 5d 3c,3.92877,54.60,78.926,141.723,45.40,21.574,70.9227,0.00,63.90,36.10
6c 5d 4c,2.97016,55.59,78.203,137.927,44.41,22.297,74.9317,0.00,62.97,37.03
6d 6c 2c,8.44436,51.56,79.431,151.036,48.44,21.069,64.9172,0.00,63.55,36.45
6d 6c 3c,7.81609,51.62,78.9207,149.899,48.38,21.5793,66.5685,0.00,63.46,36.54
6d 6c 4c,7.81025,51.96,78.5501,148.217,48.04,21.9499,68.1921,0.00,63.22,36.78
6d 6c 5c,9.87883,52.66,77.9866,145.201,47.34,22.5134,70.9744,0.00,62.96,37.04
6h 6d 6c,13.1449,54.05,85.041,154.245,45.95,15.4593,50.2175,0.00,67.57,32.43
6d 3c 2c,7.23902,52.49,78.8551,147.292,47.51,21.6449,67.9934,0.00,65.76,34.24
6d 4c 2c,7.66284,53.15,78.9725,145.676,46.85,21.5275,68.5791,0.00,65.33,34.67
6d 4c 3c,4.90998,53.94,78.787,143.189,46.06,21.713,70.3655,0.00,64.51,35.49
6d 5c 2c,6.96134,53.68,78.4692,143.324,46.32,22.0308,70.982,0.00,65.10,34.90
6d 5c 3c,3.81659,54.50,79.0406,142.187,45.50,21.4594,70.3919,0.00,63.98,36.02
6d 5c 4c,3.32023,55.55,78.2773,138.145,44.45,22.2227,74.6225,0.00,63.05,36.95
6h 6d 2c,8.33333,48.38,79.3841,160.855,51.62,21.1159,61.0584,0.00,66.35,33.65
6h 6d 3c,8.49146,48.81,78.9198,158.523,51.19,21.5802,62.919,0.00,66.35,33.65
6h 6d 4c,7.78811,49.72,78.1078,154.003,50.28,22.3922,66.4753,0.00,65.69,34.31
6h 6d 5c,8.32003,50.69,77.7522,150.383,49.31,22.7477,68.8524,0.00,65.21,34.79
6h 2d 2c,17.2696,51.11,77.1357,147.957,48.89,23.3643,71.3305,0.00,70.02,29.98
6h 3d 3c,16.2201,50.40,77.7014,151.146,49.60,22.7986,68.6045,0.00,69.51,30.49
6h 3d 2c,5.65628,50.10,78.5424,153.701,49.90,21.9576,65.6749,0.00,70.63,29.37
6h 4d 4c,8.5261,50.68,77.1671,149.292,49.32,23.3329,70.6038,0.00,66.36,33.64
6h 4d 2c,5.42595,50.95,79.0201,152.047,49.05,21.4799,65.3633,0.00,68.87,31.13
6h 4d 3c,2.34235,52.20,78.9051,148.195,47.80,21.5949,67.4291,0.00,66.93,33.07
6h 5d 5c,7.08271,50.97,77.1192,148.351,49.03,23.3808,71.167,0.00,64.98,35.02
6h 5d 2c,4.56935,51.23,78.6249,150.459,48.77,21.8752,66.9488,0.00,68.07,31.93
6h 5d 3c,1.20185,52.51,79.1546,147.792,47.49,21.3454,67.0826,0.00,65.59,34.41
6h 5d 4c,0.4433,53.93,77.3891,140.696,46.07,23.1109,74.8665,0.00,64.07,35.93
7c 2d 2c,20.7555,53.81,77.6704,141.504,46.19,22.8296,73.7742,0.00,65.69,34.31
7c 3c 2c,10.0725,52.29,80.9601,151.8,47.71,19.5399,61.1243,0.00,55.11,44.89
7c 3c 2d,13.5938,52.48,77.9298,145.574,47.52,22.5702,70.8946,0.00,65.97,34.03
7c 3d 3c,17.7422,53.09,77.6895,143.461,46.91,22.8105,72.5793,0.00,65.76,34.24
7c 3d 2c,13.5691,52.50,77.9244,145.505,47.50,22.5756,70.9433,0.00,65.95,34.05
7c 4c 2c,9.11147,52.87,80.7671,149.775,47.13,19.7329,62.4892,0.00,54.95,45.05
7c 4c 2d,10.6153,52.60,78.3135,145.954,47.40,22.1865,69.8674,0.00,64.98,35.02
7c 4c 3c,6.15938,53.66,81.1883,148.331,46.34,19.3117,62.2017,0.00,56.53,43.47
7c 4c 3d,6.08862,52.97,78.5934,145.467,47.03,21.9066,69.521,0.00,63.43,36.57
7c 4d 4c,8.94555,52.73,77.2738,143.668,47.27,23.2263,73.3387,0.00,63.70,36.30
7c 4d 2c,10.7415,52.63,78.3081,145.863,47.37,22.1919,69.9273,0.00,65.09,34.91
