Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\3d3h2c.cfr
Action Line,Root CHECK
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 15 freq,CHECK freq
6c 5c 3c,69.7799,49.31,22.7827,77.0107,50.69,30.1587,99.1539,51.54,48.46
6c 5c 3d,97.3489,50.34,22.0087,72.8736,49.66,29.8181,100.065,58.39,41.61
6c 5c 4c,77.7139,48.84,22.2953,76.0877,51.16,30.6964,99.9952,51.97,48.03
6c 5c 4d,99.9889,49.34,20.8248,70.3382,50.66,30.8993,101.665,67.03,32.97
6c 5d 5c,75.657,52.32,23.1877,73.8633,47.68,28.9444,101.178,61.17,38.83
6c 5d 2c,89.269,50.75,22.2877,73.1962,49.25,29.5304,99.9315,55.96,44.04
6c 5d 3c,95.946,50.27,22.0833,73.2207,49.73,29.7859,99.8186,57.22,42.78
6c 5d 4c,99.9844,49.37,21.0365,71.0205,50.63,30.761,101.256,64.89,35.11
6d 6c 2c,74.5584,52.79,23.2919,73.5333,47.21,28.8662,101.912,61.99,38.01
6d 6c 3c,82.322,52.52,23.1887,73.5932,47.48,28.9266,101.53,62.21,37.79
6d 6c 4c,81.4695,52.34,23.2017,73.8787,47.66,28.9196,101.136,61.55,38.45
6d 6c 5c,81.7512,52.56,23.2549,73.7362,47.44,28.8183,101.252,60.92,39.08
6h 6d 6c,19.9015,52.17,21.9219,70.0302,47.83,30.012,104.584,46.05,53.95
6d 3c 2c,89.3658,50.73,22.4795,73.8509,49.27,29.5297,99.8947,56.52,43.48
6d 4c 2c,83.5867,50.53,22.2642,73.434,49.47,29.6865,100.017,56.71,43.29
6d 4c 3c,97.5454,50.03,21.8982,72.9456,49.97,30.0193,100.131,59.41,40.59
6d 5c 2c,90.9447,50.76,22.2355,73.005,49.24,29.578,100.12,56.34,43.66
6d 5c 3c,95.6331,50.28,22.0361,73.048,49.72,29.8351,100.006,57.80,42.20
6d 5c 4c,99.9747,49.40,21.0069,70.8714,50.60,30.7822,101.394,64.96,35.04
6h 6d 2c,76.4379,52.84,22.871,72.1433,47.16,29.0586,102.689,60.53,39.47
6h 6d 3c,83.7978,52.66,22.8627,72.366,47.34,29.0373,102.22,61.16,38.84
6h 6d 4c,86.2574,52.53,22.9022,72.6595,47.47,28.97,101.72,61.79,38.21
6h 6d 5c,87.2163,52.78,22.8943,72.2948,47.22,28.9494,102.179,62.14,37.86
6h 2d 2c,83.1658,52.71,22.8782,72.3399,47.29,28.9161,101.911,57.89,42.11
6h 3d 3c,93.2645,52.72,23.1171,73.0771,47.28,28.6717,101.077,60.93,39.07
6h 3d 2c,99.8696,50.83,21.875,71.7197,49.17,29.8403,101.157,59.95,40.05
6h 4d 4c,79.2596,52.27,22.9314,73.1243,47.73,28.9109,100.944,60.34,39.66
6h 4d 2c,96.3206,50.85,22.0627,72.3109,49.15,29.6368,100.501,57.11,42.89
6h 4d 3c,99.9914,49.86,20.661,69.0569,50.14,30.8643,102.604,68.59,31.41
6h 5d 5c,81.4972,52.54,22.8187,72.3811,47.46,29.0855,102.147,62.50,37.50
6h 5d 2c,98.9712,50.99,21.9407,71.7197,49.01,29.6123,100.696,57.46,42.54
6h 5d 3c,99.9111,50.26,21.2686,70.5307,49.74,30.2963,101.513,62.68,37.32
6h 5d 4c,99.9989,49.09,19.5271,66.2978,50.91,31.8019,104.11,77.37,22.63
7c 2d 2c,80.983,52.23,23.0132,73.4316,47.77,29.0422,101.333,60.86,39.14
7c 3c 2c,33.2576,47.61,22.2416,77.8681,52.39,30.9471,98.4422,50.34,49.66
7c 3c 2d,76.4436,50.38,22.2918,73.7408,49.62,29.653,99.6069,55.42,44.58
7c 3d 3c,94.744,52.27,23.2726,74.211,47.73,28.7279,100.307,60.77,39.23
7c 3d 2c,74.7097,50.34,22.2698,73.7325,49.66,29.6818,99.6149,55.38,44.62
7c 4c 2c,38.0989,47.54,22.2029,77.8351,52.46,30.9738,98.4094,50.82,49.18
7c 4c 2d,80.1758,50.12,22.1116,73.5361,49.88,29.7918,99.5352,55.64,44.36
7c 4c 3c,59.6669,48.30,22.5812,77.9173,51.70,30.5436,98.4674,50.97,49.03
7c 4c 3d,99.1476,50.06,22.1125,73.6239,49.94,29.7961,99.4345,57.95,42.05
7c 4d 4c,82.0282,51.63,23.1066,74.5833,48.37,28.9628,99.806,59.94,40.06
7c 4d 2c,77.5795,50.01,22.0532,73.4889,49.98,29.8534,99.5413,55.41,44.59
7c 4d 3c,98.0689,50.00,22.0482,73.4876,50.00,29.8511,99.5122,57.94,42.06
7c 5c 2c,53.0601,48.95,22.837,77.7551,51.05,30.1735,98.5111,52.33,47.67
7c 5c 2d,86.8983,50.49,22.262,73.4925,49.51,29.5933,99.6127,56.18,43.82
7c 5c 3c,66.2423,49.30,22.9714,77.6566,50.70,30.0119,98.6609,51.84,48.16
7c 5c 3d,92.601,50.28,22.169,73.4797,49.72,29.714,99.6121,56.31,43.69
7c 5c 4c,80.4444,48.88,22.5053,76.7332,51.12,30.4865,99.3994,53.02,46.98
7c 5c 4d,99.9992,49.13,20.1139,68.2312,50.87,31.3857,102.834,74.92,25.08
7c 5d 5c,87.8182,52.03,23.2734,74.5545,47.97,28.8896,100.369,61.21,38.79
7c 5d 2c,81.2236,50.33,22.248,73.6743,49.67,29.6379,99.4485,55.41,44.59
7c 5d 3c,89.1992,50.19,22.2439,73.8587,49.81,29.6801,99.3202,55.21,44.79
7c 5d 4c,99.995,49.23,20.4752,69.3197,50.77,31.1156,102.143,71.65,28.35
7c 6c 2c,40.5632,48.40,22.5666,77.7051,51.60,30.5276,98.6078,49.91,50.09
7c 6c 2d,77.018,50.36,22.5181,74.5274,49.64,29.3566,98.56,53.65,46.35
7c 6c 3c,61.1845,48.67,22.6798,77.6703,51.33,30.3101,98.4094,50.39,49.61
7c 6c 3d,96.7627,50.17,22.2958,74.0613,49.83,29.4527,98.5189,56.33,43.67
7c 6c 4c,63.8677,48.78,22.7478,77.7155,51.22,30.2782,98.5317,49.69,50.31
7c 6c 4d,89.2335,49.69,22.296,74.7898,50.31,29.6177,98.1099,54.23,45.77
7c 6c 5c,72.7619,49.04,22.4861,76.4242,50.96,30.4889,99.7114,51.78,48.22
7c 6c 5d,91.1058,49.73,22.3196,74.8053,50.27,29.7517,98.6364,53.06,46.94
7c 6d 6c,85.481,52.00,23.3352,74.7895,48.00,28.7245,99.742,58.84,41.16
7c 6d 2c,75.5998,50.27,22.4368,74.393,49.73,29.4587,98.7217,53.98,46.02
7c 6d 3c,96.7373,50.11,22.2691,74.0715,49.89,29.5052,98.5622,56.15,43.85
7c 6d 4c,89.2527,49.63,22.2307,74.6579,50.37,29.7081,98.2959,54.41,45.59
7c 6d 5c,94.6756,49.75,22.2797,74.6413,50.25,29.7911,98.8063,53.72,46.28
7d 7c 2c,88.7547,52.81,23.361,73.7295,47.19,28.8854,102.014,63.51,36.49
7d 7c 3c,95.6206,52.46,23.1343,73.4931,47.54,29.024,101.761,64.28,35.72
7d 7c 4c,96.1786,52.06,22.9883,73.591,47.94,29.1602,101.385,64.08,35.92
7d 7c 5c,98.6112,52.29,23.0034,73.3187,47.71,29.118,101.721,65.30,34.70
7d 7c 6c,94.1055,52.28,23.2879,74.2438,47.72,28.7737,100.491,60.73,39.27
7h 7d 7c,39.2976,53.15,21.7946,68.3454,46.85,30.1124,107.12,53.56,46.44
7d 3c 2c,70.3203,50.24,22.2378,73.7778,49.76,29.7315,99.5747,54.92,45.08
7d 4c 2c,76.1776,49.98,22.0776,73.6283,50.02,29.8482,99.4453,55.00,45.00
7d 4c 3c,97.5224,50.03,22.1372,73.7494,49.97,29.7928,99.3653,57.18,42.82
7d 5c 2c,83.9324,50.39,22.2796,73.6834,49.61,29.6054,99.47,55.47,44.53
7d 5c 3c,89.2086,50.23,22.2256,73.7465,49.77,29.7014,99.4615,55.48,44.52
7d 5c 4c,99.9969,49.27,20.4455,69.1607,50.73,31.1328,102.283,71.72,28.28
7d 6c 2c,75.534,50.25,22.4361,74.421,49.75,29.4583,98.6799,53.93,46.07
7d 6c 3c,96.8736,50.10,22.2844,74.1316,49.90,29.5,98.5328,55.70,44.30
7d 6c 4c,89.4867,49.64,22.248,74.7006,50.36,29.694,98.2688,54.30,45.70
7d 6c 5c,93.1729,49.74,22.259,74.5868,50.26,29.8115,98.855,53.46,46.54
7h 7d 2c,87.6439,52.79,22.7257,71.7449,47.21,29.2251,103.181,63.79,36.21
7h 7d 3c,95.3738,52.55,22.6169,71.7329,47.45,29.2566,102.761,64.97,35.03
7h 7d 4c,99.2513,52.21,22.4508,71.675,47.79,29.3714,102.422,66.96,33.04
7h 7d 5c,99.5734,52.49,22.5681,71.6605,47.51,29.2867,102.736,67.09,32.91
7h 7d 6c,98.7756,52.38,22.6254,71.9973,47.62,29.1384,101.973,66.05,33.95
7h 2d 2c,85.1988,52.38,22.7485,72.3899,47.62,29.1016,101.843,58.71,41.29
7h 3d 3c,97.4847,52.45,23.0008,73.0839,47.55,28.7491,100.774,60.93,39.07
7h 3d 2c,84.4094,50.56,22.1363,72.9715,49.44,29.5915,99.7546,52.29,47.71
7h 4d 4c,88.7203,51.95,22.9328,73.5759,48.05,28.8747,100.151,60.20,39.80
7h 4d 2c,90.7515,50.48,22.1193,73.031,49.52,29.5375,99.4114,52.84,47.16
7h 4d 3c,99.9762,49.92,21.0255,70.1972,50.08,30.5056,101.523,64.75,35.25
7h 5d 5c,89.2923,52.23,22.8941,73.0512,47.77,29.0154,101.239,62.37,37.63
7h 5d 2c,92.8505,50.77,22.1904,72.8531,49.23,29.4376,99.6506,53.90,46.10
7h 5d 3c,97.2988,50.47,21.9771,72.5744,49.53,29.6973,99.931,56.15,43.85
7h 5d 4c,100,49.00,18.8184,64.0098,51.00,32.3206,105.62,84.74,15.26
7h 6d 6c,91.3031,52.15,22.7947,72.85,47.85,28.9919,100.982,62.47,37.53
7h 6d 2c,86.5559,50.60,22.4267,73.8744,49.40,29.1585,98.3687,53.45,46.55
7h 6d 3c,99.9519,50.10,21.5039,71.5307,49.90,29.922,99.9483,62.22,37.78
7h 6d 4c,97.6171,49.86,22.0983,73.8751,50.14,29.5997,98.3805,56.61,43.39
7h 6d 5c,99.4567,49.91,22.1529,73.9811,50.09,29.6973,98.807,55.91,44.09
8c 2d 2c,65.5302,53.49,23.7972,74.1498,46.51,28.4534,101.96,59.99,40.01
8c 3c 2c,21.856,48.60,22.8388,78.3188,51.40,30.3695,98.4789,49.44,50.56
8c 3c 2d,58.8111,51.48,22.6853,73.4504,48.52,29.3242,100.719,55.25,44.75
8c 3d 3c,73.6119,53.69,24.0487,74.6566,46.31,28.2244,101.572,60.16,39.84
8c 3d 2c,57.0539,51.44,22.678,73.4742,48.56,29.3425,100.714,55.06,44.94
8c 4c 2c,30.7175,49.11,22.8996,77.7083,50.89,30.1946,98.897,50.98,49.02
8c 4c 2d,68.8781,51.53,22.5929,73.0707,48.47,29.3014,100.759,54.73,45.27
