Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\BTNvBB\Th9d8c.cfr
Action Line,Root CHECK BET 12
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 50 freq,CALL freq,FOLD freq
6c 4d 2c,28.8792,46.08,17.0939,74.1945,53.92,43.4061,129.836,17.32,64.28,18.40
6c 4d 3c,27.1743,46.42,17.2825,74.4635,53.58,43.2175,130.093,18.03,62.43,19.54
6c 5c 2c,49.9199,48.08,19.3318,80.4221,51.92,41.1682,127.879,12.37,65.70,21.93
6c 5c 2d,29.6533,46.23,17.0182,73.6249,53.77,43.4818,130.428,17.14,65.23,17.62
6c 5c 3c,40.3395,48.10,19.2644,80.1075,51.90,41.2356,128.14,13.56,64.09,22.35
6c 5c 3d,27.5937,46.52,17.3667,74.6604,53.48,43.1333,130.09,18.51,62.71,18.78
6c 5c 4c,51.1185,47.90,18.7146,78.1437,52.10,41.7855,129.354,13.45,64.38,22.17
6c 5c 4d,35.781,46.66,17.2583,73.9803,53.34,43.2417,130.746,17.34,63.93,18.73
6c 5d 5c,44.397,46.33,17.3101,74.731,53.67,43.19,129.786,17.32,63.98,18.70
6c 5d 2c,29.4245,46.33,17.0662,73.6797,53.67,43.4338,130.517,17.13,65.20,17.67
6c 5d 3c,26.2951,46.63,17.4106,74.6714,53.37,43.0894,130.227,18.54,62.56,18.90
6c 5d 4c,34.7105,46.73,17.2782,73.9564,53.27,43.2218,130.855,17.42,63.85,18.73
6d 6c 2c,62.269,45.98,17.2603,75.0806,54.02,43.2397,129.098,16.12,65.11,18.77
6d 6c 3c,62.2602,46.09,17.1532,74.4361,53.91,43.3468,129.683,16.61,63.98,19.41
6d 6c 4c,52.6338,46.26,17.2032,74.3686,53.74,43.2968,129.958,16.72,64.60,18.68
6d 6c 5c,55.8788,46.60,17.2194,73.8963,53.40,43.2806,130.736,16.18,66.57,17.25
6h 6d 6c,99.9976,46.42,16.103,69.3729,53.58,44.397,133.658,5.38,92.26,2.36
6d 3c 2c,48.4715,45.76,16.6317,72.6911,54.24,43.8683,130.449,16.77,65.33,17.90
6d 4c 2c,30.2111,46.12,17.1188,74.2358,53.88,43.3813,129.862,17.36,64.06,18.58
6d 4c 3c,27.6735,46.46,17.3033,74.4842,53.54,43.1967,130.135,18.09,62.21,19.69
6d 5c 2c,28.538,46.34,17.1343,73.9513,53.66,43.3657,130.346,17.27,64.90,17.83
6d 5c 3c,25.4781,46.65,17.472,74.9025,53.35,43.0281,130.091,18.70,62.25,19.04
6d 5c 4c,37.3101,46.74,17.3112,74.0731,53.26,43.1888,130.793,17.44,63.71,18.85
6h 6d 2c,65.5078,45.78,16.7541,73.1947,54.22,43.7459,130.131,14.49,71.42,14.09
6h 6d 3c,68.1398,45.89,16.4866,71.853,54.11,44.0134,131.194,14.61,70.94,14.45
6h 6d 4c,59.3257,46.13,16.6092,72.0045,53.87,43.8908,131.421,14.73,70.74,14.53
6h 6d 5c,56.2257,46.49,16.7311,71.9846,53.51,43.7689,131.917,15.11,70.53,14.36
6h 2d 2c,69.7399,45.72,16.6856,72.9945,54.28,43.8144,130.186,12.66,80.16,7.18
6h 3d 3c,72.2325,45.88,16.3908,71.4441,54.12,44.1092,131.466,13.40,75.41,11.18
6h 3d 2c,49.1508,45.38,16.0618,70.7957,54.62,44.4382,131.212,14.60,72.70,12.70
6h 4d 4c,46.1889,45.58,16.441,72.1429,54.42,44.059,130.58,15.05,70.26,14.69
6h 4d 2c,25.4241,45.41,16.4492,72.446,54.59,44.0508,130.153,15.35,69.98,14.66
6h 4d 3c,26.3094,45.90,16.7317,72.9073,54.10,43.7684,130.484,16.80,65.64,17.57
6h 5d 5c,44.0875,46.09,16.7751,72.793,53.91,43.7249,130.817,15.57,69.06,15.36
6h 5d 2c,25.7973,45.68,16.4227,71.899,54.32,44.0773,130.883,15.68,69.79,14.53
6h 5d 3c,24.4896,46.07,16.9266,73.4854,53.93,43.5734,130.312,17.66,65.22,17.12
6h 5d 4c,35.9215,46.42,17.0129,73.3004,53.58,43.4871,130.907,16.57,66.38,17.05
7c 2d 2c,67.0869,45.81,17.2264,75.2108,54.19,43.2736,128.795,16.84,65.42,17.74
7c 3c 2c,63.0917,47.40,18.7987,79.3112,52.60,41.7013,127.883,11.40,64.44,24.16
7c 3c 2d,55.1485,46.05,16.7221,72.6219,53.95,43.7779,130.886,16.34,65.26,18.40
7c 3d 3c,65.215,46.10,16.9629,73.5986,53.90,43.5372,130.27,16.38,65.96,17.66
7c 3d 2c,54.8023,46.09,16.751,72.6903,53.91,43.749,130.887,16.36,65.18,18.46
7c 4c 2c,59.6743,47.72,19.0213,79.7266,52.28,41.4788,127.958,11.34,65.76,22.90
7c 4c 2d,42.3589,46.04,16.7848,72.917,53.96,43.7152,130.663,16.53,65.42,18.06
7c 4c 3c,51.2099,47.68,18.7927,78.8207,52.32,41.7073,128.585,12.44,64.85,22.72
7c 4c 3d,40.9945,46.10,16.6795,72.3564,53.90,43.8205,131.137,16.50,65.69,17.81
7c 4d 4c,41.0547,45.83,17.1261,74.7421,54.17,43.3739,129.138,18.17,62.22,19.61
7c 4d 2c,43.693,46.07,16.7927,72.9056,53.93,43.7073,130.71,16.46,65.41,18.12
7c 4d 3c,42.2219,46.09,16.6595,72.293,53.91,43.8405,131.161,16.45,65.71,17.83
7c 5c 2c,55.4906,47.83,19.1978,80.2743,52.17,41.3022,127.692,11.80,65.62,22.58
7c 5c 2d,39.9215,46.11,16.8338,73.0233,53.89,43.6662,130.679,16.37,66.01,17.62
