Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\LJvBB\Th9d8c.cfr
Action Line,Root CHECK BET 11 RAISE 46
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 980 freq,CALL freq,FOLD freq
6c 4d 4c,13.0142,52.13,78.5833,147.802,47.87,21.9168,68.328,0.00,64.10,35.90
6c 4d 2c,8.22437,53.00,79.8713,147.757,47.00,20.6287,65.5035,0.00,64.97,35.03
6c 4d 3c,4.39091,54.14,79.6227,144.173,45.86,20.8773,67.9526,0.01,63.57,36.42
6c 5c 2c,8.18738,54.66,82.2569,147.54,45.34,18.2431,60.0524,0.00,55.07,44.93
6c 5c 2d,9.02579,53.24,79.3689,146.149,46.76,21.1311,67.4515,0.00,64.19,35.81
6c 5c 3c,5.35464,54.99,83.4214,148.739,45.01,17.0786,56.6274,0.00,55.81,44.19
6c 5c 3d,4.91818,54.20,79.9173,144.57,45.80,20.5827,67.0683,0.00,62.98,37.02
6c 5c 4c,4.78566,55.53,82.513,145.668,44.47,17.987,60.3745,0.00,56.53,43.47
6c 5c 4d,5.34574,55.04,78.6552,140.113,44.96,21.8448,72.5122,0.00,63.04,36.96
6c 5d 5c,10.6562,52.33,77.7589,145.679,47.67,22.7411,71.2019,0.00,62.90,37.10
6c 5d 2c,8.60265,53.31,79.1838,145.633,46.69,21.3162,68.1356,0.00,64.34,35.66
6c 5d 3c,4.33281,54.30,79.8833,144.232,45.70,20.6167,67.3318,0.00,63.08,36.92
6c 5d 4c,4.84108,55.08,78.6123,139.935,44.92,21.8877,72.719,0.00,63.07,36.93
6d 6c 2c,7.41286,51.79,79.539,150.582,48.21,20.961,64.8869,0.00,63.38,36.62
6d 6c 3c,6.99314,51.48,79.1021,150.647,48.52,21.398,65.8209,0.00,63.40,36.60
6d 6c 4c,6.60035,51.72,79.0848,149.909,48.28,21.4152,66.2046,0.00,63.33,36.67
6d 6c 5c,10.143,52.09,78.7321,148.196,47.91,21.7679,67.8069,0.00,63.01,36.99
6h 6d 6c,13.6667,53.57,86.7849,158.821,46.43,13.7151,44.09,0.00,67.48,32.52
6d 3c 2c,10.0343,52.33,79.1289,148.24,47.67,21.3711,66.9157,0.00,65.53,34.47
6d 4c 2c,7.68346,52.98,79.7536,147.591,47.02,20.7464,65.8509,0.00,64.97,35.03
6d 4c 3c,4.47423,53.96,79.5679,144.573,46.04,20.9321,67.8541,0.00,63.71,36.29
6d 5c 2c,8.08981,53.36,79.201,145.525,46.64,21.299,68.1552,0.00,64.32,35.68
6d 5c 3c,4.28134,54.24,79.883,144.396,45.76,20.617,67.2421,0.00,63.19,36.81
6d 5c 4c,5.27264,55.07,78.6196,139.971,44.93,21.8804,72.6805,0.00,63.19,36.81
6h 6d 2c,7.77076,48.84,79.437,159.454,51.16,21.063,61.4509,0.00,65.88,34.12
6h 6d 3c,7.97953,48.83,79.0103,158.65,51.17,21.4897,62.6754,0.00,65.93,34.07
6h 6d 4c,7.01786,49.08,78.7085,157.227,50.92,21.7915,63.8727,0.00,65.35,34.65
