Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\BTNvBB\3c2c2d.cfr
Action Line,Root CHECK
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 12 freq,CHECK freq
6c 5d 5c,100,49.39,22.0589,89.3189,50.61,26.4411,104.496,44.40,55.60
6c 5d 2c,100,50.60,23.3388,92.256,49.40,25.1612,101.858,29.42,70.58
6c 5d 3c,100,50.84,23.6921,93.1972,49.16,24.8079,100.933,26.30,73.70
6c 5d 4c,100,50.71,23.0854,91.0546,49.29,25.4146,103.115,34.71,65.29
6d 6c 2c,100,48.01,20.4477,85.1751,51.99,28.0523,107.92,62.27,37.73
6d 6c 3c,100,48.09,20.3585,84.6701,51.91,28.1415,108.422,62.26,37.74
6d 6c 4c,100,48.78,21.2436,87.0965,51.22,27.2564,106.432,52.63,47.37
6d 6c 5c,100,49.08,21.1125,86.0351,50.92,27.3875,107.568,55.88,44.12
6h 6d 6c,100,46.42,16.1033,69.3736,53.58,32.3967,120.939,100.00,0.00
6d 3c 2c,100,49.12,21.5691,87.8296,50.88,26.9309,105.851,48.47,51.53
6d 4c 2c,100,50.36,23.2522,92.3475,49.64,25.2478,101.719,30.21,69.79
6d 4c 3c,100,50.50,23.5166,93.1407,49.50,24.9834,100.937,27.67,72.33
6d 5c 2c,100,50.64,23.4372,92.5687,49.36,25.0628,101.545,28.54,71.46
6d 5c 3c,100,50.87,23.7693,93.4426,49.13,24.7307,100.684,25.48,74.52
6d 5c 4c,100,50.55,22.8698,90.4783,49.45,25.6302,103.667,37.31,62.69
6h 6d 2c,100,47.65,19.8524,83.3263,52.35,28.6476,109.445,65.51,34.49
6h 6d 3c,100,47.67,19.4647,81.6725,52.33,29.0353,110.96,68.14,31.86
6h 6d 4c,100,48.40,20.4127,84.3521,51.60,28.0873,108.863,59.33,40.67
6h 6d 5c,100,48.93,20.8261,85.1334,51.07,27.6739,108.367,56.23,43.77
6h 2d 2c,100,47.69,19.6252,82.3061,52.31,28.8748,110.394,69.74,30.26
6h 3d 3c,100,47.64,19.122,80.273,52.36,29.378,112.22,72.23,27.77
6h 3d 2c,100,48.89,21.2396,86.8896,51.11,27.2604,106.67,49.15,50.85
6h 4d 4c,100,48.69,21.4381,88.058,51.31,27.062,105.485,46.19,53.81
6h 4d 2c,100,50.32,23.4287,93.1257,49.68,25.0713,100.923,25.42,74.58
6h 4d 3c,100,50.33,23.5212,93.4687,49.67,24.9788,100.578,26.31,73.69
6h 5d 5c,100,49.23,21.8813,88.8865,50.77,26.6187,104.868,44.09,55.91
6h 5d 2c,100,50.52,23.4331,92.773,49.48,25.0669,101.315,25.80,74.20
6h 5d 3c,100,50.72,23.7159,93.5233,49.28,24.7841,100.577,24.49,75.51
6h 5d 4c,100,50.59,22.9442,90.7117,49.41,25.5558,103.437,35.92,64.08
7c 2d 2c,100,47.84,20.188,84.4057,52.16,28.312,108.549,67.09,32.91
7c 3c 2c,100,48.60,21.0118,86.4679,51.40,27.4882,106.958,63.09,36.91
7c 3c 2d,100,48.87,20.9333,85.6612,51.13,27.5667,107.839,55.15,44.85
7c 3d 3c,100,48.21,20.1312,83.5115,51.79,28.3688,109.557,65.21,34.79
7c 3d 2c,100,48.91,20.9819,85.7964,51.09,27.5181,107.726,54.80,45.20
7c 4c 2c,100,49.08,21.4835,87.543,50.92,27.0165,106.115,59.67,40.33
7c 4c 2d,100,49.58,22.1114,89.1978,50.42,26.3886,104.671,42.36,57.64
7c 4c 3c,100,49.30,21.7835,88.3699,50.70,26.7165,105.391,51.21,48.79
7c 4c 3d,100,49.68,22.2099,89.4175,50.32,26.2901,104.484,40.99,59.01
7c 4d 4c,100,48.90,22.0454,90.169,51.10,26.4546,103.536,41.05,58.95
7c 4d 2c,100,49.52,22.0058,88.8774,50.48,26.4942,104.967,43.69,56.31
7c 4d 3c,100,49.59,22.0858,89.0684,50.41,26.4142,104.803,42.22,57.78
7c 5c 2c,100,49.32,21.8359,88.547,50.68,26.6641,105.226,55.49,44.51
7c 5c 2d,100,49.75,22.3419,89.8166,50.25,26.1581,104.112,39.92,60.08
7c 5c 3c,100,49.93,22.5621,90.3792,50.07,25.9379,103.601,42.69,57.31
7c 5c 3d,100,50.49,23.2806,92.2211,49.51,25.2194,101.873,28.92,71.08
7c 5c 4c,100,49.82,22.2706,89.3957,50.18,26.2295,104.55,44.29,55.71
7c 5c 4d,100,50.67,23.2692,91.8381,49.33,25.2308,102.303,30.46,69.54
7c 5d 5c,100,49.19,22.1954,90.2518,50.81,26.3046,103.532,40.81,59.19
7c 5d 2c,100,49.73,22.2321,89.4111,50.27,26.2679,104.507,41.28,58.72
7c 5d 3c,100,50.45,23.1636,91.8333,49.55,25.3364,102.26,30.05,69.95
7c 5d 4c,100,50.71,23.2476,91.6963,49.29,25.2525,102.455,30.83,69.17
7c 6c 2c,100,48.71,21.0999,86.634,51.29,27.4001,106.844,62.71,37.29
7c 6c 2d,100,49.08,21.356,87.027,50.92,27.1441,106.612,50.26,49.74
7c 6c 3c,100,48.96,21.3005,87.0074,51.04,27.1995,106.586,56.54,43.46
7c 6c 3d,100,49.33,21.5472,87.3674,50.67,26.9528,106.376,47.20,52.80
7c 6c 4c,100,50.16,23.0327,91.8393,49.84,25.4673,102.193,33.59,66.41
7c 6c 4d,100,50.81,23.9485,94.2732,49.19,24.5515,99.8157,18.58,81.42
7c 6c 5c,100,49.69,22.1688,89.2212,50.31,26.3313,104.684,46.34,53.66
7c 6c 5d,100,50.50,22.8383,90.4557,49.50,25.6618,103.675,35.19,64.81
7c 6d 6c,100,48.18,20.533,85.2296,51.82,27.967,107.944,62.67,37.33
7c 6d 2c,100,49.10,21.3564,86.9841,50.90,27.1436,106.663,50.72,49.28
7c 6d 3c,100,49.32,21.5122,87.2371,50.68,26.9879,106.5,47.82,52.18
7c 6d 4c,100,50.86,23.9976,94.3587,49.14,24.5024,99.7337,17.70,82.30
7c 6d 5c,100,50.53,22.9239,90.7417,49.47,25.5761,103.391,34.41,65.59
7d 7c 2c,100,47.85,20.8639,87.2035,52.15,27.6361,105.99,54.26,45.74
7d 7c 3c,100,48.25,20.8245,86.3112,51.75,27.6755,106.967,55.00,45.00
7d 7c 4c,100,48.66,21.6008,88.7905,51.34,26.8993,104.779,46.15,53.85
7d 7c 5c,100,48.96,21.7194,88.7216,51.04,26.7806,104.941,45.56,54.44
7d 7c 6c,100,48.22,20.8649,86.5399,51.78,27.6352,106.741,56.32,43.68
7h 7d 7c,100,46.26,16.9078,73.0936,53.74,31.5923,117.582,99.79,0.21
7d 3c 2c,100,48.90,20.9884,85.8361,51.10,27.5116,107.684,55.03,44.97
7d 4c 2c,100,49.45,21.9014,88.5741,50.55,26.5986,105.243,45.35,54.65
7d 4c 3c,100,49.67,22.1792,89.305,50.33,26.3208,104.594,41.57,58.43
7d 5c 2c,100,49.77,22.3588,89.8455,50.23,26.1413,104.089,40.18,59.82
7d 5c 3c,100,50.56,23.3654,92.4213,49.44,25.1346,101.683,28.04,71.96
7d 5c 4c,100,50.54,23.0341,91.1527,49.46,25.4659,102.974,33.27,66.73
7d 6c 2c,100,49.09,21.3533,86.9928,50.91,27.1468,106.65,51.00,49.00
7d 6c 3c,100,49.39,21.6349,87.6034,50.61,26.8651,106.171,46.59,53.41
7d 6c 4c,100,50.85,23.9892,94.3494,49.15,24.5108,99.742,18.06,81.94
7d 6c 5c,100,50.45,22.8186,90.4609,49.55,25.6814,103.657,35.52,64.48
7h 7d 2c,100,47.43,20.2574,85.4217,52.57,28.2426,107.446,60.47,39.53
7h 7d 3c,100,47.95,20.3071,84.7069,52.05,28.1929,108.323,58.91,41.09
7h 7d 4c,100,48.22,20.7642,86.1221,51.78,27.7359,107.13,54.54,45.46
7h 7d 5c,100,48.64,21.1746,87.061,51.36,27.3254,106.414,50.49,49.51
7h 7d 6c,100,47.93,20.4001,85.1245,52.07,28.0999,107.931,60.10,39.90
7h 2d 2c,100,47.43,19.4529,82.024,52.57,29.0471,110.513,72.07,27.93
7h 3d 3c,100,47.91,19.4907,81.3621,52.09,29.0094,111.383,68.78,31.22
7h 3d 2c,100,48.65,20.4781,84.1795,51.35,28.0219,109.148,57.23,42.77
7h 4d 4c,100,48.45,21.2477,87.7133,51.55,27.2523,105.727,48.67,51.33
7h 4d 2c,100,49.30,21.7215,88.119,50.70,26.7786,105.635,43.98,56.02
7h 4d 3c,100,49.41,21.802,88.2558,50.59,26.698,105.538,43.94,56.06
7h 5d 5c,100,48.86,21.6964,88.8057,51.14,26.8036,104.829,45.51,54.49
7h 5d 2c,100,49.54,22.0323,88.9535,50.46,26.4677,104.899,40.77,59.23
7h 5d 3c,100,50.36,23.1864,92.0767,49.64,25.3136,101.995,28.97,71.03
7h 5d 4c,100,50.58,23.1422,91.5011,49.42,25.3578,102.628,32.67,67.33
7h 6d 6c,100,47.90,19.9878,83.463,52.10,28.5122,109.443,66.38,33.62
7h 6d 2c,100,48.88,20.9559,85.7472,51.12,27.5441,107.759,52.49,47.51
7h 6d 3c,100,49.15,21.1675,86.1343,50.85,27.3325,107.502,49.82,50.18
7h 6d 4c,100,50.76,24.0961,94.9374,49.24,24.4039,99.126,16.88,83.12
7h 6d 5c,100,50.45,22.7575,90.2232,49.55,25.7425,103.899,36.00,64.00
8c 2d 2c,100,46.61,19.0949,81.9276,53.39,29.4051,110.16,77.60,22.40
8c 3c 2c,100,47.66,20.5177,86.094,52.34,27.9823,106.932,66.19,33.81
8c 3c 2d,100,47.62,19.9641,83.8545,52.38,28.5359,108.948,63.90,36.10
8c 3d 3c,100,46.82,18.8577,80.5494,53.18,29.6423,111.485,78.31,21.69
8c 3d 2c,100,47.66,20.0266,84.047,52.34,28.4734,108.792,63.41,36.59
8c 4c 2c,100,48.11,20.5467,85.4155,51.89,27.9533,107.741,69.89,30.11
8c 4c 2d,100,48.43,20.6748,85.3745,51.57,27.8252,107.919,57.68,42.32
8c 4c 3c,100,48.21,20.7393,86.0355,51.79,27.7607,107.207,65.51,34.49
8c 4c 3d,100,48.38,20.7014,85.578,51.62,27.7986,107.705,56.12,43.88
8c 4d 4c,100,47.79,20.7552,86.86,52.21,27.7448,106.282,54.48,45.52
8c 4d 2c,100,48.54,20.8733,86.0009,51.46,27.6267,107.376,55.67,44.33
8c 4d 3c,100,48.45,20.8347,86.0081,51.55,27.6653,107.33,54.66,45.34
8c 5c 2c,100,48.45,21.5563,88.9753,51.55,26.9437,104.543,54.28,45.72
8c 5c 2d,100,48.50,21.7056,89.5085,51.50,26.7944,104.054,44.17,55.83
8c 5c 3c,100,48.47,21.5255,88.8241,51.53,26.9745,104.689,53.48,46.52
8c 5c 3d,100,48.46,21.5618,88.9944,51.54,26.9383,104.526,44.57,55.43
8c 5c 4c,100,48.62,21.07,86.6719,51.38,27.4299,106.773,58.62,41.38
8c 5c 4d,100,49.29,21.8723,88.7503,50.71,26.6277,105.018,44.22,55.78
8c 5d 5c,100,47.53,21.1496,89.0008,52.47,27.3505,104.245,48.06,51.94
8c 5d 2c,100,48.39,21.4727,88.7412,51.61,27.0273,104.744,46.97,53.03
8c 5d 3c,100,48.31,21.269,88.0545,51.69,27.231,105.36,48.05,51.95
8c 5d 4c,100,49.09,21.486,87.5432,50.91,27.014,106.117,48.56,51.44
8c 6c 2c,100,47.96,20.8507,86.9453,52.04,27.6493,106.267,61.57,38.43
8c 6c 2d,100,48.02,20.8871,86.986,51.98,27.613,106.252,52.55,47.45
8c 6c 3c,100,47.93,20.7762,86.7004,52.07,27.7238,106.479,60.86,39.14
8c 6c 3d,100,47.92,20.6614,86.2406,52.08,27.8386,106.898,53.35,46.65
8c 6c 4c,100,48.76,21.4838,88.1258,51.24,27.0163,105.444,52.29,47.71
8c 6c 4d,100,49.18,22.2264,90.3787,50.82,26.2737,103.409,38.44,61.56
8c 6c 5c,100,49.38,22.4237,90.8194,50.62,26.0763,103.029,41.77,58.23
8c 6c 5d,100,49.87,23.1236,92.7344,50.13,25.3765,101.243,28.85,71.15
8c 6d 6c,100,46.83,19.6276,83.819,53.17,28.8724,108.611,69.43,30.57
8c 6d 2c,100,47.99,20.8076,86.7127,52.01,27.6924,106.492,54.06,45.94
8c 6d 3c,100,47.84,20.5226,85.7932,52.16,27.9774,107.279,55.45,44.55
8c 6d 4c,100,49.05,21.997,89.6936,50.95,26.503,104.034,41.33,58.67
8c 6d 5c,100,49.93,23.2496,93.1275,50.07,25.2504,100.862,27.39,72.61
8c 7c 2c,100,47.67,20.6802,86.7726,52.33,27.8198,106.315,60.19,39.81
8c 7c 2d,100,47.66,20.4122,85.6552,52.34,28.0878,107.331,57.33,42.67
8c 7c 3c,100,47.75,20.4446,85.6349,52.25,28.0554,107.385,63.09,36.91
8c 7c 3d,100,47.93,20.3287,84.8246,52.07,28.1713,108.208,57.99,42.01
8c 7c 4c,100,48.27,20.8474,86.3712,51.73,27.6526,106.919,60.85,39.15
8c 7c 4d,100,48.60,21.1673,87.1122,51.40,27.3327,106.348,50.30,49.70
8c 7c 5c,100,49.12,22.2188,90.4731,50.88,26.2812,103.3,41.13,58.87
8c 7c 5d,100,49.43,22.4913,91.0077,50.57,26.0087,102.857,35.02,64.98
8c 7c 6c,100,48.60,21.2388,87.4073,51.40,27.2612,106.069,52.73,47.27
8c 7c 6d,100,48.95,21.6876,88.6188,51.05,26.8124,105.035,46.61,53.39
8c 7d 7c,100,46.83,20.0673,85.7066,53.17,28.4327,106.946,61.60,38.40
8c 7d 2c,100,47.70,20.4828,85.8808,52.30,28.0172,107.141,56.89,43.11
8c 7d 3c,100,47.93,20.3334,84.854,52.07,28.1666,108.178,58.28,41.72
8c 7d 4c,100,48.52,21.0382,86.717,51.48,27.4618,106.692,52.32,47.68
8c 7d 5c,100,49.54,22.7166,91.7141,50.46,25.7834,102.189,32.67,67.33
8c 7d 6c,100,48.98,21.7756,88.9087,51.02,26.7244,104.769,45.58,54.42
8d 8c 2c,100,46.56,19.3494,83.1232,53.44,29.1506,109.088,71.88,28.12
8d 8c 3c,100,46.78,19.1166,81.731,53.22,29.3834,110.421,74.94,25.06
8d 8c 4c,100,47.36,19.6054,82.7946,52.64,28.8946,109.78,70.41,29.59
8d 8c 5c,100,47.21,20.1314,85.2765,52.79,28.3686,107.486,62.49,37.51
8d 8c 6c,100,46.77,19.4461,83.1545,53.23,29.0539,109.165,70.71,29.29
8d 8c 7c,100,46.62,19.3159,82.8608,53.38,29.1842,109.349,71.41,28.59
8h 8d 8c,100,45.20,15.415,68.2006,54.80,33.085,120.758,100.00,0.00
8d 3c 2c,100,47.64,20.0295,84.0839,52.36,28.4705,108.752,63.75,36.25
8d 4c 2c,100,48.46,20.7551,85.6558,51.54,27.7449,107.667,57.52,42.48
8d 4c 3c,100,48.52,20.9621,86.4021,51.48,27.5379,106.989,53.45,46.55
8d 5c 2c,100,48.43,21.5982,89.1944,51.57,26.9018,104.33,46.00,54.00
8d 5c 3c,100,48.44,21.5389,88.933,51.56,26.9611,104.578,45.21,54.79
8d 5c 4c,100,49.05,21.4845,87.6037,50.95,27.0155,106.046,48.80,51.20
8d 6c 2c,100,47.97,20.7902,86.6807,52.03,27.7098,106.514,54.54,45.46
8d 6c 3c,100,47.92,20.6639,86.2506,52.08,27.8361,106.889,53.87,46.13
8d 6c 4c,100,49.17,22.2197,90.3755,50.83,26.2803,103.409,38.84,61.16
8d 6c 5c,100,49.77,23.0447,92.6113,50.23,25.4553,101.348,29.73,70.27
8d 7c 2c,100,47.69,20.4657,85.8348,52.31,28.0343,107.177,57.56,42.44
8d 7c 3c,100,47.91,20.3273,84.8515,52.09,28.1727,108.175,58.81,41.19
8d 7c 4c,100,48.65,21.28,87.4768,51.35,27.2201,106.023,49.68,50.32
8d 7c 5c,100,49.46,22.6222,91.4858,50.55,25.8778,102.395,33.83,66.17
8d 7c 6c,100,48.93,21.7284,88.8172,51.07,26.7716,104.839,46.06,53.94
8h 8d 2c,100,46.10,18.5107,80.303,53.90,29.9893,111.281,80.75,19.25
8h 8d 3c,100,46.42,18.316,78.9072,53.58,30.1841,112.677,83.14,16.86
8h 8d 4c,100,47.12,19.0554,80.8787,52.88,29.4446,111.366,75.29,24.71
8h 8d 5c,100,46.68,18.9637,81.2468,53.32,29.5363,110.792,76.25,23.75
8h 8d 6c,100,46.33,18.5639,80.1301,53.67,29.9361,111.565,80.85,19.15
8h 8d 7c,100,46.25,18.7095,80.9035,53.75,29.7905,110.851,77.78,22.22
8h 2d 2c,100,46.16,18.1774,78.7545,53.84,30.3226,112.644,85.83,14.17
8h 3d 3c,100,46.46,17.9772,77.3917,53.54,30.5228,114.014,84.93,15.07
8h 3d 2c,100,47.34,19.356,81.766,52.66,29.144,110.697,67.11,32.89
8h 4d 4c,100,47.52,20.314,85.4935,52.48,28.186,107.42,57.98,42.02
8h 4d 2c,100,48.31,20.4123,84.5001,51.69,28.0877,108.684,56.86,43.14
8h 4d 3c,100,48.24,20.3912,84.5334,51.76,28.1088,108.62,55.63,44.37
8h 5d 5c,100,46.97,20.127,85.6948,53.03,28.373,107.015,60.49,39.51
8h 5d 2c,100,48.12,21.1702,87.9812,51.88,27.3298,105.366,46.99,53.01
8h 5d 3c,100,48.07,20.9586,87.1964,51.93,27.5414,106.075,48.33,51.67
8h 5d 4c,100,49.02,21.2981,86.9037,50.98,27.2019,106.706,51.60,48.40
8h 6d 6c,100,46.38,18.7236,80.7326,53.62,29.7764,111.073,77.63,22.37
8h 6d 2c,100,47.71,20.3514,85.3172,52.29,28.1486,107.658,57.34,42.66
8h 6d 3c,100,47.60,20.0454,84.2323,52.40,28.4546,108.596,59.49,40.51
8h 6d 4c,100,48.97,21.9749,89.7457,51.03,26.5251,103.962,42.36,57.64
