Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\3d3h2c.cfr
Action Line,Root BET 15
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 60 freq,CALL freq,FOLD freq
6c 4d 2c,14.327,55.12,45.0505,108.971,44.88,19.8302,73.6457,13.39,75.71,10.90
6c 4d 3c,1.34238,54.52,45.2442,110.653,45.48,19.5396,71.6018,13.93,76.10,9.98
6c 5c 2c,42.6598,54.62,44.409,108.405,45.38,22.0508,80.9879,7.51,76.56,15.93
6c 5c 2d,7.61577,55.33,45.1306,108.756,44.67,19.546,72.9265,13.43,76.17,10.40
6c 5c 3c,30.2201,54.78,44.8213,109.103,45.22,21.5859,79.5511,7.41,76.32,16.26
6c 5c 3d,2.65108,55.14,45.1804,109.25,44.86,19.5761,72.7301,12.71,77.21,10.08
6c 5c 4c,22.2861,54.59,45.0182,109.95,45.41,21.3318,78.2975,7.66,76.87,15.47
6c 5c 4d,0.01112,55.55,48.5078,116.429,44.45,15.6321,58.6142,17.04,74.01,8.95
6c 5d 5c,24.343,56.03,45.1536,107.444,43.97,20.3691,77.2147,18.29,66.98,14.74
6c 5d 2c,10.731,55.32,45.0972,108.702,44.68,19.6358,73.2395,12.99,76.49,10.52
6c 5d 3c,4.05396,55.13,45.0787,109.028,44.87,19.743,73.3313,11.54,78.55,9.91
6c 5d 4c,0.01561,56.53,49.751,117.339,43.47,14.3369,54.972,15.80,75.09,9.12
6d 6c 2c,25.4416,55.76,45.1593,107.985,44.24,20.3441,76.6432,19.70,64.88,15.43
6d 6c 3c,17.678,55.79,45.1481,107.901,44.21,20.3071,76.5552,19.22,65.96,14.82
6d 6c 4c,18.5305,55.80,45.177,107.954,44.20,20.2889,76.5,18.78,66.53,14.69
6d 6c 5c,18.2488,56.06,45.0977,107.269,43.94,20.327,77.0939,19.00,66.17,14.82
6h 6d 6c,80.0984,56.99,45.0518,105.397,43.01,19.7377,76.4909,5.88,92.86,1.26
6d 3c 2c,10.6342,54.81,45.0109,109.503,45.19,20.0004,73.7577,13.19,75.34,11.47
6d 4c 2c,16.4133,55.11,44.9578,108.769,44.89,19.9661,74.1315,12.97,76.24,10.79
6d 4c 3c,2.45459,54.57,45.098,110.189,45.43,19.738,72.4126,13.30,76.85,9.86
6d 5c 2c,9.05524,55.27,44.9845,108.526,44.73,19.7701,73.6599,12.69,77.08,10.23
6d 5c 3c,4.36694,55.07,44.9517,108.834,44.93,19.8906,73.7852,11.71,78.42,9.87
6d 5c 4c,0.02532,55.00,47.5095,115.176,45.00,16.8838,62.5319,15.97,74.93,9.10
6h 6d 2c,23.5621,55.95,45.5674,108.595,44.05,19.5992,74.1519,17.89,70.45,11.66
6h 6d 3c,16.2023,55.72,45.4048,108.65,44.28,19.7599,74.3751,18.31,69.64,12.05
6h 6d 4c,13.7426,55.90,45.4042,108.294,44.10,19.7099,74.4933,18.22,69.88,11.90
6h 6d 5c,12.7837,56.24,45.2617,107.309,43.76,19.8341,75.539,18.70,69.06,12.24
6h 2d 2c,16.8342,56.46,46.5496,109.923,43.54,18.1675,69.5486,15.95,76.25,7.80
6h 3d 3c,6.73548,56.09,46.3847,110.262,43.91,18.43,69.9542,18.54,71.10,10.37
6h 3d 2c,0.13038,54.61,46.4455,113.396,45.39,18.0338,66.2202,15.01,76.59,8.40
6h 4d 4c,20.7404,55.96,45.6765,108.835,44.04,19.3245,73.1295,16.88,72.54,10.58
6h 4d 2c,3.6794,55.45,45.5798,109.596,44.55,18.9482,70.8907,13.08,79.40,7.53
6h 4d 3c,0.00859,51.53,48.9486,126.663,48.47,14.9005,51.2322,19.51,72.98,7.51
6h 5d 5c,18.5028,56.22,45.3209,107.483,43.78,19.8898,75.7203,18.47,69.26,12.27
6h 5d 2c,1.02881,55.77,45.8019,109.502,44.23,18.5277,69.8157,12.98,80.00,7.02
6h 5d 3c,0.08889,55.39,46.7311,112.499,44.61,17.5655,65.6196,15.41,76.29,8.31
6h 5d 4c,0.00113,57.16,53.5608,124.944,42.84,9.81779,38.1931,24.03,67.82,8.15
7c 2d 2c,19.0169,55.84,45.1493,107.812,44.16,20.0698,75.7415,18.95,66.39,14.66
7c 3c 2c,66.7424,54.19,44.553,109.631,45.81,22.2107,80.7998,3.33,80.98,15.69
7c 3c 2d,23.5564,54.93,45.2014,109.713,45.07,19.7038,72.8689,11.85,77.33,10.82
7c 3d 3c,5.25604,55.85,45.5939,108.849,44.15,19.6147,74.0451,18.83,67.12,14.05
7c 3d 2c,25.2903,54.94,45.2123,109.733,45.06,19.7025,72.8691,11.90,77.19,10.91
7c 4c 2c,61.9011,54.20,44.5597,109.617,45.80,22.1444,80.5844,3.68,80.77,15.55
7c 4c 2d,19.8242,55.06,45.1362,109.302,44.94,19.7108,73.1004,11.28,78.73,9.99
7c 4c 3c,40.3331,54.40,44.9375,110.146,45.60,21.6745,79.2156,5.32,78.64,16.04
7c 4c 3d,0.85241,54.45,45.5944,111.654,45.55,19.147,70.0543,13.19,76.45,10.36
7c 4d 4c,17.9718,55.55,45.218,108.539,44.45,20.1506,75.5505,16.12,70.95,12.93
7c 4d 2c,22.4205,55.04,45.1107,109.282,44.96,19.7363,73.1606,10.99,79.13,9.88
7c 4d 3c,1.93114,54.44,45.3715,111.127,45.56,19.4104,71.0039,12.91,76.90,10.19
7c 5c 2c,46.9399,54.26,44.3872,109.069,45.74,22.2325,81.0134,5.47,78.86,15.68
7c 5c 2d,13.1017,55.30,45.2445,109.096,44.70,19.5788,72.9953,12.04,77.28,10.68
7c 5c 3c,33.7577,54.55,44.7861,109.459,45.45,21.7389,79.7253,6.26,77.47,16.27
7c 5c 3d,7.399,55.13,45.0646,108.996,44.87,19.7613,73.3969,11.87,77.81,10.32
7c 5c 4c,19.5555,54.33,44.8304,110.023,45.67,21.6123,78.8683,7.68,76.40,15.92
7c 5c 4d,0.00076,58.97,61.6496,139.382,41.03,0.44174,1.79455,20.92,70.66,8.43
7c 5d 5c,12.1818,55.72,45.1337,108.009,44.28,20.451,76.9693,17.47,68.35,14.18
7c 5d 2c,18.7764,55.26,45.191,109.046,44.74,19.6613,73.2366,11.48,77.85,10.68
7c 5d 3c,10.8008,55.18,45.0334,108.812,44.82,19.8508,73.8203,11.00,78.68,10.32
7c 5d 4c,0.00501,55.75,48.0647,114.962,44.25,15.8444,59.6714,19.66,71.55,8.79
7c 6c 2c,59.4368,54.13,44.7202,110.153,45.87,21.8804,79.5031,3.54,80.75,15.71
7c 6c 2d,22.982,54.74,45.1544,109.992,45.26,19.6722,72.4358,10.38,78.26,11.36
7c 6c 3c,38.8155,54.31,45.1399,110.819,45.69,21.3049,77.7162,5.26,79.07,15.67
7c 6c 3d,3.23724,54.20,45.3809,111.648,45.80,19.2267,69.9587,12.46,76.82,10.72
7c 6c 4c,36.1324,54.34,45.2337,110.997,45.66,21.2264,77.4733,5.65,77.78,16.57
7c 6c 4d,10.7665,54.47,45.2146,110.668,45.53,19.6083,71.7849,10.05,79.29,10.66
7c 6c 5c,27.2381,54.61,45.1758,110.293,45.39,21.1998,77.8489,6.97,77.74,15.29
7c 6c 5d,8.89426,54.72,45.4547,110.762,45.28,19.5385,71.9134,9.37,79.95,10.68
7c 6d 6c,14.519,55.64,45.1288,108.154,44.36,20.3142,76.3155,15.90,70.08,14.01
7c 6d 2c,24.4002,54.64,45.0964,110.049,45.36,19.7632,72.6131,10.73,77.75,11.52
7c 6d 3c,3.26271,54.09,45.2892,111.648,45.91,19.3516,70.2457,12.40,76.83,10.77
