Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\AdKc2c.cfr
Action Line,Root BET 152 RAISE 366
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 880 freq,RAISE 580 freq,CALL freq,FOLD freq
6c 4c 3d,0.24354,44.35,242.943,102.577,55.65,503.559,120.976,26.10,22.69,9.93,41.29
6c 4d 4c,2.77269,45.82,260.303,106.379,54.18,486.198,119.976,24.49,20.73,7.81,46.96
6c 4d 2c,0.21754,44.67,253.053,106.082,55.33,493.447,119.231,25.86,21.22,6.36,46.57
6c 4d 3c,0.05805,44.88,247.419,103.244,55.12,499.08,121.043,26.07,22.79,10.18,40.96
6c 5c 2c,0.00035,39.66,228.166,107.737,60.34,518.334,114.841,30.14,19.72,3.73,46.41
6c 5c 2d,0.0059,40.02,157.465,73.6839,59.98,589.033,131.288,26.21,22.63,8.80,42.35
6c 5c 3c,0.00001,80.94,824.315,190.722,19.06,-77.8018,-54.5665,11.89,88.11,0.00,0.00
6c 5c 3d,0.0013,33.80,97.3451,53.9325,66.20,649.159,131.097,26.59,23.26,12.48,37.67
6c 5c 4c,0.00001,79.72,796.005,186.977,20.28,-49.5064,-32.6409,85.10,14.90,0.00,0.00
6c 5c 4d,0.33618,42.85,216.354,94.5474,57.15,530.146,124.02,28.74,23.22,7.49,40.55
6c 5d 5c,0.99457,45.42,251.304,103.615,54.58,495.197,121.292,24.47,21.25,8.93,45.36
6c 5d 2c,0.00828,39.89,178.037,83.5895,60.11,568.462,126.421,25.81,22.51,9.92,41.77
6c 5d 3c,0.00279,34.34,90.6337,49.4284,65.66,655.866,133.536,25.83,22.51,13.30,38.36
6c 5d 4c,0.32374,43.07,217.799,94.7028,56.93,528.701,124.151,29.21,23.03,6.98,40.78
6d 6c 2c,2.19923,45.00,246.482,102.565,55.00,500.017,121.548,24.76,20.00,8.37,46.88
6d 6c 3c,1.32284,44.40,241.711,101.936,55.60,504.789,121.387,23.87,20.22,11.26,44.65
6d 6c 4c,2.82724,45.16,243.514,100.982,54.84,502.985,122.615,24.67,21.09,7.11,47.13
6d 6c 5c,1.31104,45.33,246.701,101.911,54.67,499.8,122.226,24.00,20.63,9.26,46.11
6h 6d 6c,22.3678,48.26,287.539,111.57,51.74,458.962,118.596,42.42,8.51,0.78,48.29
6d 3c 2c,0.09985,41.47,185.552,83.7808,58.53,560.948,128.137,25.47,20.87,11.23,42.43
6d 4c 2c,0.11239,45.91,269.213,109.812,54.09,477.288,117.966,26.22,21.10,6.31,46.37
6d 4c 3c,0.02673,45.83,266.748,108.997,54.17,479.753,118.4,26.44,22.94,9.66,40.96
6d 5c 2c,0.00477,38.85,161.246,77.7274,61.15,585.251,127.947,26.18,22.87,8.87,42.07
6d 5c 3c,0.00364,36.39,120.868,62.2083,63.62,625.634,131.478,26.32,23.03,12.11,38.54
6d 5c 4c,0.30903,43.87,228.594,97.5849,56.13,517.906,123.348,29.21,23.22,6.56,41.00
6h 6d 2c,8.35271,47.82,280.509,109.848,52.18,465.992,119.393,30.12,13.17,13.27,43.45
6h 6d 3c,6.08681,47.22,275.531,109.263,52.78,470.972,119.303,30.78,12.00,13.42,43.80
6h 6d 4c,6.92573,47.27,273.931,108.523,52.73,472.568,119.812,35.35,8.53,12.02,44.10
6h 6d 5c,6.14123,47.13,268.723,106.783,52.87,477.777,120.804,36.84,6.65,12.35,44.15
6h 2d 2c,9.47494,47.97,289.449,112.988,52.03,457.051,117.446,25.61,16.17,15.33,42.90
6h 3d 3c,8.96542,47.53,283.313,111.635,52.47,463.186,118.007,33.20,8.47,15.08,43.25
6h 3d 2c,2.97699,48.09,300.519,117.029,51.91,445.981,114.854,23.53,15.61,20.29,40.56
6h 4d 4c,7.48313,47.57,288.178,113.44,52.43,458.321,116.871,28.30,13.83,14.57,43.30
6h 4d 2c,4.09987,48.43,302.869,117.112,51.57,443.631,115.007,22.30,18.04,18.07,41.59
6h 4d 3c,2.90291,48.29,290.044,112.482,51.71,456.457,118.007,20.65,18.56,18.70,42.09
6h 5d 5c,5.07935,47.46,280.771,110.796,52.54,465.73,118.497,34.06,7.33,15.81,42.80
6h 5d 2c,2.66745,48.93,311.023,119.04,51.07,435.477,113.994,23.64,14.67,21.14,40.55
6h 5d 3c,1.53799,48.81,302.128,115.927,51.20,444.371,116.042,19.92,17.84,22.03,40.21
6h 5d 4c,1.00632,48.01,294.019,114.686,51.99,452.481,116.351,19.41,17.22,22.31,41.07
7c 2d 2c,5.37175,46.41,263.656,106.394,53.59,482.845,120.447,26.53,20.44,4.76,48.27
7c 3c 2c,0.00088,43.70,299.041,128.156,56.30,447.458,106.249,32.25,18.60,3.13,46.02
7c 3c 2d,0.01425,43.73,242.083,103.669,56.27,504.417,119.841,27.63,20.83,5.49,46.05
7c 3d 3c,4.4273,45.75,257.199,105.276,54.25,489.3,120.581,25.88,21.33,4.74,48.05
7c 3d 2c,0.0124,43.92,258.127,110.05,56.08,488.372,116.432,27.14,20.63,6.06,46.17
7c 4c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7c 4c 2d,2.26798,46.48,272.5,109.786,53.52,474,118.405,27.42,19.46,5.10,48.03
7c 4c 3c,0.00003,53.98,386.695,134.158,46.02,359.805,104.518,42.16,4.57,21.88,31.38
7c 4c 3d,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7c 4d 4c,4.23466,45.95,264.211,107.672,54.05,482.288,119.296,24.75,21.64,5.81,47.81
7c 4d 2c,1.8255,45.98,265.973,108.316,54.02,480.527,118.93,25.84,20.97,5.36,47.84
7c 4d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7c 5c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7c 5c 2d,2.31932,46.49,270.636,109.019,53.51,475.864,118.886,26.51,20.50,4.88,48.11
7c 5c 3c,0.00549,37.38,205.456,102.931,62.62,541.043,115.509,48.28,0.40,7.40,43.93
7c 5c 3d,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7c 5c 4c,0.00014,50.88,305.252,112.35,49.12,441.246,120.093,35.02,12.48,31.33,21.17
7c 5c 4d,0.7704,44.91,255.749,106.637,55.09,490.75,119.097,29.63,19.56,8.02,42.79
7c 5d 5c,2.19989,44.97,250.63,104.37,55.03,495.87,120.466,24.88,21.84,5.85,47.42
7c 5d 2c,1.17588,45.73,256.075,104.875,54.28,490.426,120.801,25.91,21.23,4.92,47.94
7c 5d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7c 5d 4c,0.68822,45.11,256.674,106.558,54.89,489.825,119.297,29.32,19.76,8.43,42.49
7c 6c 2c,0.00073,36.27,232.006,119.774,63.73,514.49,107.934,27.92,20.95,1.47,49.66
7c 6c 2d,0.02293,40.26,181.871,84.5857,59.73,564.628,126.367,25.77,22.40,6.88,44.94
7c 6c 3c,0.00005,77.44,731.725,176.946,22.56,14.7798,8.75852,76.66,23.34,0.00,0.00
7c 6c 3d,0.07279,41.97,188.865,84.2656,58.03,557.636,128.473,25.52,21.61,9.91,42.96
7c 6c 4c,0.00018,36.10,139.864,72.5442,63.90,606.638,126.927,56.73,4.82,1.89,36.56
7c 6c 4d,0.99584,44.11,222.214,94.3343,55.89,524.287,125.415,29.32,22.07,6.64,41.98
7c 6c 5c,0.00007,31.47,173.648,103.317,68.53,572.851,111.761,13.11,8.92,0.00,77.97
7c 6c 5d,0.74116,40.33,170.312,79.0815,59.67,576.189,129.095,30.76,22.96,2.47,43.81
7c 6d 6c,1.14777,45.04,235.616,97.9636,54.96,510.884,124.272,30.17,18.32,4.38,47.13
7c 6d 2c,0.00609,41.25,184.576,83.7967,58.75,561.925,127.867,25.62,22.38,6.56,45.44
7c 6d 3c,0.05921,42.16,176.792,78.5287,57.84,569.71,131.68,25.21,21.63,9.53,43.63
7c 6d 4c,0.84627,44.26,227.514,96.2523,55.74,518.987,124.486,30.10,20.51,7.04,42.36
7c 6d 5c,0.87654,41.16,182.404,82.9941,58.84,564.096,128.162,30.56,23.00,3.34,43.09
7d 7c 2c,3.18344,45.02,249.014,103.588,54.98,497.486,120.961,25.18,21.01,5.84,47.97
7d 7c 3c,1.61226,44.44,242.594,102.231,55.56,503.907,121.247,25.14,20.87,7.39,46.61
7d 7c 4c,3.88397,45.70,256.018,104.914,54.30,490.482,120.755,25.55,21.34,5.34,47.78
7d 7c 5c,3.05473,45.29,251.529,104.012,54.71,494.972,120.942,25.32,22.12,4.38,48.18
7d 7c 6c,1.15927,45.42,239.494,98.7406,54.58,507.006,124.191,30.31,18.40,4.52,46.76
7h 7d 7c,23.0916,48.20,296.496,115.202,51.80,450.005,116.134,39.65,11.16,0.50,48.69
7d 3c 2c,0.00759,41.46,210.726,95.1787,58.54,535.776,122.358,25.76,21.29,6.42,46.53
7d 4c 2c,2.0107,45.99,264.004,107.497,54.01,482.495,119.434,25.62,21.19,5.45,47.75
7d 4c 3c,0.00211,37.12,125.534,63.3329,62.88,620.96,132.022,25.79,22.61,9.87,41.73
7d 5c 2c,1.94757,45.96,259.569,105.754,54.04,486.931,120.469,25.69,21.07,5.15,48.09
7d 5c 3c,0.00694,48.19,280.498,109.008,51.81,466.001,120.239,26.63,23.35,8.68,41.34
7d 5c 4c,0.63528,44.99,256.245,106.665,55.01,490.254,119.14,29.66,19.70,7.84,42.80
7d 6c 2c,0.02094,40.06,162.385,75.901,59.94,584.117,130.292,25.38,22.19,6.77,45.67
7d 6c 3c,0.187,41.56,178.41,80.3829,58.44,568.09,129.967,25.16,21.68,9.20,43.95
7d 6c 4c,1.02904,44.79,233.089,97.4464,55.21,513.409,124.33,29.25,21.42,6.85,42.48
7d 6c 5c,0.81387,40.91,180.877,82.797,59.09,565.625,127.972,30.90,22.93,2.39,43.78
7h 7d 2c,11.5832,47.61,283.007,111.32,52.39,463.493,118.271,26.50,18.55,10.43,44.52
7h 7d 3c,8.46066,47.50,283.783,111.883,52.50,462.716,117.827,31.28,13.62,10.60,44.50
7h 7d 4c,10.0375,47.52,277.852,109.498,52.48,468.646,119.383,34.40,9.17,12.34,44.09
7h 7d 5c,8.67562,47.63,276.726,108.794,52.37,469.772,119.929,36.89,7.25,11.64,44.22
7h 7d 6c,4.85981,47.62,274.287,107.861,52.38,472.214,120.526,40.00,3.34,13.36,43.30
7h 2d 2c,11.8488,47.26,281.219,111.431,52.74,465.28,117.944,24.34,18.85,13.09,43.72
7h 3d 3c,11.2317,47.12,276.496,109.892,52.88,470.003,118.819,30.90,12.56,12.37,44.18
