Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\2c2d2h.cfr
Action Line,Root CHECK BET 115
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 880 freq,RAISE 230 freq,CALL freq,FOLD freq
6c 4c 2d,1.04827,50.46,69.2754,59.689,49.54,274.225,160.45,3.76,19.28,38.52,38.43
6c 4c 3c,0.00013,1.60,-216.404,-5883.06,98.40,559.904,164.926,0.09,14.90,37.78,47.24
6c 4c 3d,0.00847,46.35,50.2289,47.1208,53.65,293.27,158.433,4.34,21.32,34.70,39.64
6c 4d 4c,5.23121,50.10,66.9158,58.0743,49.90,276.584,160.652,1.05,21.18,40.39,37.38
6c 4d 2c,0.67916,50.43,71.0836,61.2801,49.57,272.416,159.305,2.92,20.91,37.47,38.70
6c 4d 3c,0.00499,48.35,58.0756,52.2255,51.65,285.424,160.172,4.03,22.25,34.34,39.38
6c 5c 2c,0.00505,43.11,34.1813,34.4708,56.89,309.321,157.609,0.02,20.27,38.05,41.66
6c 5c 2d,0.21311,49.64,67.249,58.9026,50.36,276.251,158.998,2.31,25.49,31.00,41.21
6c 5c 3c,0.00032,52.24,144.133,119.964,47.76,199.366,120.989,0.11,19.67,41.39,38.83
6c 5c 3d,0.00962,46.40,55.7494,52.2335,53.60,287.752,155.623,3.00,26.73,27.92,42.34
6c 5c 4c,0.00027,48.47,133.938,120.153,51.53,209.562,117.871,0.14,15.67,41.99,42.19
6c 5c 4d,0.00193,43.78,55.3728,54.985,56.21,288.128,148.564,1.69,28.60,24.63,45.08
6c 5d 5c,1.88682,49.24,64.8873,57.2902,50.76,278.613,159.108,0.52,24.61,35.39,39.48
6c 5d 2c,0.72432,48.98,65.7298,58.3505,51.02,277.77,157.797,2.17,25.14,31.08,41.60
6c 5d 3c,0.04667,48.19,72.1343,65.0748,51.81,271.366,151.832,3.04,27.38,28.78,40.79
6c 5d 4c,0.00789,44.10,50.8397,50.1201,55.90,292.66,151.757,2.24,28.70,25.38,43.68
6d 6c 2c,7.77153,50.81,66.5097,56.9173,49.19,276.99,163.204,2.94,18.85,42.09,36.12
6d 6c 3c,5.42563,50.39,64.7597,55.8788,49.61,278.74,162.853,2.13,20.69,40.45,36.73
6d 6c 4c,7.89549,50.24,66.2691,57.3534,49.76,277.231,161.479,1.92,19.49,42.08,36.50
6d 6c 5c,4.8899,49.82,67.7069,59.0939,50.18,275.793,159.292,1.48,21.37,39.40,37.76
6h 6d 6c,7.90222,47.97,61.8432,56.0581,52.04,281.657,156.894,3.03,8.88,64.63,23.46
6d 3c 2c,1.32127,49.69,63.2016,55.3028,50.31,280.298,161.485,0.75,25.96,33.30,40.00
6d 4c 2c,0.00438,50.06,83.4819,72.5025,49.94,260.019,150.925,3.49,19.67,37.60,39.23
6d 4c 3c,0.05744,48.56,46.5322,41.6634,51.44,296.968,167.333,3.87,22.19,34.07,39.87
6d 5c 2c,0.00509,47.39,55.3647,50.7997,52.61,288.135,158.735,1.89,23.63,32.54,41.95
6d 5c 3c,0.1927,50.19,74.0174,64.1245,49.81,269.483,156.805,2.95,27.20,28.75,41.11
6d 5c 4c,0.01084,43.15,46.6055,46.9648,56.85,296.894,151.363,2.25,29.26,25.91,42.59
6h 6d 2c,13.1762,50.42,65.1491,56.1793,49.58,278.351,162.73,0.00,24.71,41.94,33.34
6h 6d 3c,10.2912,50.46,63.5004,54.7152,49.54,280,163.823,0.00,24.61,40.95,34.44
6h 6d 4c,13.8986,49.92,64.5311,56.2023,50.08,278.969,161.467,0.00,21.59,45.08,33.33
6h 6d 5c,11.8192,49.74,64.7541,56.6072,50.26,278.746,160.742,0.00,22.07,43.57,34.35
6h 2d 2c,15.8301,50.26,67.367,58.2756,49.74,276.133,160.917,0.00,21.98,46.40,31.62
6h 3d 3c,12.7375,50.20,66.9652,57.9962,49.80,276.535,160.961,0.00,22.10,45.02,32.88
6h 3d 2c,4.01419,50.08,60.4003,52.4391,49.92,283.1,164.375,0.51,25.72,37.28,36.49
6h 4d 4c,11.6205,50.12,63.4344,55.0266,49.88,280.066,162.753,0.00,21.26,44.74,34.00
6h 4d 2c,9.71046,50.11,64.1701,55.6729,49.89,279.33,162.301,1.51,23.09,39.42,35.97
6h 4d 3c,0.99846,50.72,68.6808,58.8799,49.28,274.819,161.628,1.54,27.64,33.85,36.97
6h 5d 5c,7.62138,50.06,62.7304,54.4784,49.94,280.77,162.973,0.01,23.74,40.77,35.48
6h 5d 2c,1.94,50.02,66.3579,57.6741,49.98,277.142,160.741,0.32,26.63,35.97,37.07
6h 5d 3c,0.00252,58.63,115.274,85.4779,41.37,228.226,159.921,1.31,34.50,23.67,40.53
6h 5d 4c,0.00221,47.60,80.9693,73.9536,52.40,262.531,145.229,2.27,40.72,14.01,43.01
7c 2d 2c,10.5212,50.21,70.3999,60.9585,49.79,273.1,158.994,2.64,17.53,44.89,34.93
7c 3c 2c,0.00013,18.61,-68.2532,-159.454,81.39,411.776,146.648,0.09,17.77,41.56,40.58
7c 3c 2d,1.7996,50.61,65.9106,56.6243,49.39,277.589,162.905,4.10,18.72,38.53,38.64
7c 3d 3c,8.11171,50.54,70.0956,60.3041,49.46,273.404,160.218,2.94,18.12,42.91,36.03
