Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\2c2d2h.cfr
Action Line,Root CHECK
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 230 freq,BET 115 freq,BET 69 freq,CHECK freq
8h 8d 6c,29.713,48.69,72.9599,65.1561,51.31,155.54,131.788,33.76,14.68,50.27,1.28
8h 8d 7c,19.5285,47.30,63.5552,58.414,52.70,164.945,136.094,35.14,11.97,52.67,0.22
8h 2d 2c,38.539,50.40,82.9643,71.5698,49.60,145.536,127.574,33.98,50.95,2.19,12.88
8h 3d 3c,35.0457,51.04,85.5116,72.8372,48.96,142.988,126.989,31.77,49.17,2.03,17.03
8h 3d 2c,46.8442,49.60,74.8023,65.5755,50.40,153.698,132.578,32.20,27.72,31.73,8.35
8h 4d 4c,36.5186,49.47,79.6991,70.0436,50.53,148.801,128.039,35.85,37.58,18.23,8.34
8h 4d 2c,45.809,48.48,71.5124,64.1283,51.52,156.988,132.496,34.47,32.58,28.64,4.31
8h 4d 3c,49.9608,48.72,72.9812,65.1276,51.28,155.519,131.861,33.80,25.30,35.72,5.18
8h 5d 5c,38.7523,49.25,79.3374,70.0346,50.75,149.163,127.799,36.19,27.67,29.26,6.87
8h 5d 2c,47.7888,48.17,72.9116,65.8036,51.83,155.588,130.529,34.32,25.16,36.18,4.34
8h 5d 3c,51.1509,48.29,73.0947,65.8124,51.71,155.405,130.664,33.47,15.51,46.25,4.76
8h 5d 4c,60.8549,47.99,74.8009,67.7639,52.01,153.699,128.494,36.20,0.01,61.20,2.59
8h 6d 6c,31.3088,49.23,77.8917,68.7982,50.77,150.608,128.965,32.38,33.29,29.68,4.65
8h 6d 2c,46.6249,48.38,73.4858,66.0448,51.62,155.014,130.557,32.98,25.29,40.54,1.20
8h 6d 3c,49.6916,48.60,74.3939,66.5482,51.40,154.106,130.366,32.65,15.38,50.23,1.74
8h 6d 4c,50.108,47.74,72.9721,66.4519,52.26,155.528,129.404,36.00,6.02,55.64,2.35
8h 6d 5c,57.8012,47.57,75.06,68.6044,52.43,153.44,127.241,36.76,0.01,62.82,0.40
8h 7d 7c,19.4306,47.86,67.4492,61.2701,52.14,161.051,134.304,35.53,23.70,39.02,1.75
8h 7d 2c,39.3271,48.08,71.5291,64.6834,51.92,156.971,131.448,32.07,23.10,42.48,2.35
8h 7d 3c,42.9212,48.37,72.5608,65.2229,51.63,155.939,131.318,30.95,14.11,52.30,2.64
8h 7d 4c,49.4976,47.02,69.2132,63.9971,52.98,159.287,130.724,37.42,0.02,62.52,0.05
8h 7d 5c,57.0598,47.39,74.6275,68.463,52.61,153.873,127.172,44.31,0.02,54.33,1.34
8h 7d 6c,78.7388,46.95,73.4443,68.0075,53.05,155.056,127.089,39.59,0.03,60.37,0.00
9c 2d 2c,35.5614,49.59,88.5881,77.6687,50.41,139.912,120.675,28.74,35.75,22.13,13.38
9c 3c 2c,86.5812,51.77,107.862,90.5835,48.23,120.638,108.757,8.75,0.00,35.91,55.34
9c 3c 2d,44.9002,48.73,79.6358,71.0485,51.27,148.864,126.25,28.36,11.89,51.97,7.78
9c 3d 3c,35.7711,49.94,89.9018,78.2706,50.06,138.598,120.374,26.10,33.69,22.25,17.96
9c 3d 2c,44.6502,48.76,79.8701,71.2242,51.24,148.63,126.107,28.12,10.20,54.04,7.64
9c 4c 2c,75.0808,51.88,108.327,90.7841,48.12,120.173,108.581,9.32,0.00,36.54,54.14
9c 4c 2d,40.291,48.25,79.4366,71.5762,51.75,149.063,125.244,29.45,18.56,45.86,6.14
9c 4c 3c,83.4765,51.20,105.632,89.6929,48.80,122.868,109.479,11.06,0.00,38.67,50.27
9c 4c 3d,46.0785,47.71,76.038,69.287,52.29,152.462,126.781,30.97,11.30,52.05,5.68
9c 4d 4c,37.6161,49.51,90.7135,79.6578,50.49,137.787,118.658,27.09,23.39,35.24,14.27
9c 4d 2c,41.2106,48.35,80.1556,72.0804,51.65,148.344,124.872,28.63,12.64,53.12,5.61
9c 4d 3c,47.538,47.82,76.796,69.8186,52.18,151.704,126.413,30.45,6.33,58.54,4.68
9c 5c 2c,77.4169,51.38,106.911,90.4722,48.62,121.589,108.727,9.30,0.01,35.69,55.00
9c 5c 2d,40.5966,47.39,77.0541,70.6897,52.61,151.446,125.166,28.77,6.13,59.50,5.60
9c 5c 3c,85.3956,50.83,104.822,89.6623,49.17,123.678,109.36,11.05,0.00,38.27,50.68
9c 5c 3d,48.0518,47.22,75.6288,69.6341,52.78,152.871,125.934,30.88,0.57,62.30,6.25
9c 5c 4c,86.1045,50.65,104.473,89.6743,49.35,124.026,109.278,11.25,0.00,38.62,50.13
9c 5c 4d,49.2605,47.35,77.7006,71.3505,52.65,150.799,124.525,28.63,0.23,64.34,6.81
9c 5d 5c,40.3638,48.91,87.8807,78.1198,51.09,140.619,119.671,27.48,6.69,55.16,10.67
9c 5d 2c,42.4945,47.51,77.9006,71.2912,52.49,150.599,124.742,27.41,0.23,67.68,4.69
9c 5d 3c,49.9382,47.28,76.6268,70.4591,52.72,151.873,125.26,30.08,0.59,63.40,5.93
9c 5d 4c,50.0024,47.38,78.1326,71.698,52.62,150.367,124.245,28.44,0.20,64.47,6.90
9c 6c 2c,83.2817,51.44,107.768,91.0887,48.56,120.732,108.096,6.10,0.01,31.79,62.10
9c 6c 2d,41.42,47.62,79.6074,72.6804,52.38,148.893,123.594,28.11,0.80,62.63,8.46
9c 6c 3c,91.8358,50.94,106.684,91.0617,49.06,121.816,107.951,7.17,0.00,32.67,60.16
9c 6c 3d,47.9348,47.52,78.5495,71.8622,52.48,149.951,124.24,29.37,0.00,60.58,10.05
9c 6c 4c,80.2205,51.08,106.688,90.8184,48.92,121.812,108.252,8.08,0.00,34.07,57.84
9c 6c 4d,44.968,47.10,78.8647,72.7984,52.90,149.635,122.988,28.95,0.01,62.91,8.13
9c 6c 5c,95.7365,50.11,104.518,90.693,49.89,123.982,108.04,11.08,0.00,35.96,52.96
9c 6c 5d,62.4064,47.21,79.6622,73.3666,52.79,148.838,122.583,29.54,0.01,56.39,14.06
9c 6d 6c,37.8999,49.51,89.0775,78.2274,50.49,139.422,120.058,28.58,14.51,45.07,11.84
9c 6d 2c,43.0401,47.75,80.6249,73.4123,52.25,147.875,123.05,27.49,0.08,63.96,8.48
9c 6d 3c,50.3006,47.65,79.5814,72.6122,52.35,148.919,123.685,29.11,0.01,60.92,9.96
9c 6d 4c,45.6317,47.18,79.0942,72.8942,52.82,149.406,122.973,28.83,0.02,63.22,7.93
9c 6d 5c,61.5268,47.18,79.3328,73.1156,52.82,149.167,122.775,29.54,0.01,56.71,13.73
9c 7c 2c,82.681,51.81,108.402,90.9708,48.19,120.098,108.354,8.18,0.00,32.85,58.96
9c 7c 2d,39.2945,48.04,82.81,74.9497,51.96,145.69,121.904,25.71,5.42,55.74,13.12
9c 7c 3c,89.505,51.10,106.301,90.438,48.90,122.199,108.66,9.97,0.00,35.32,54.72
9c 7c 3d,45.348,47.83,79.6342,72.3889,52.17,148.866,124.065,28.10,0.28,61.80,9.82
9c 7c 4c,78.6465,51.03,106.031,90.3353,48.97,122.469,108.741,10.35,0.01,36.48,53.16
9c 7c 4d,43.9403,47.39,80.0149,73.4097,52.61,148.485,122.713,29.20,0.04,62.39,8.36
9c 7c 5c,82.089,50.49,104.187,89.7106,49.51,124.313,109.177,14.18,0.00,39.14,46.68
9c 7c 5d,52.0459,46.76,78.1082,72.6247,53.24,150.392,122.819,32.65,0.01,55.21,12.13
9c 7c 6c,96.5934,50.16,104.664,90.7253,49.84,123.836,108.025,14.52,0.00,32.94,52.54
9c 7c 6d,55.0853,47.08,77.5849,71.6455,52.92,150.915,123.996,32.48,0.01,61.06,6.45
9c 7d 7c,29.1978,49.13,87.8088,77.7021,50.87,140.691,120.256,31.47,16.63,39.22,12.67
9c 7d 2c,40.3092,48.19,83.6113,75.4353,51.81,144.889,121.59,25.61,5.22,55.82,13.35
9c 7d 3c,46.7499,47.96,80.4934,72.9713,52.04,148.007,123.657,27.72,0.07,62.66,9.55
9c 7d 4c,44.0943,47.49,80.1977,73.4291,52.51,148.302,122.785,29.76,0.62,61.79,7.83
9c 7d 5c,51.2191,46.83,78.2697,72.6719,53.17,150.23,122.84,33.00,0.01,55.32,11.67
9c 7d 6c,54.6139,47.12,78.0768,72.0473,52.88,150.423,123.671,32.17,0.01,60.53,7.30
9c 8c 2c,85.1147,51.21,106.494,90.4087,48.79,122.006,108.732,10.02,0.00,33.08,56.89
9c 8c 2d,43.5745,47.84,81.0548,73.6707,52.16,147.445,122.895,28.31,0.02,64.03,7.63
9c 8c 3c,91.1432,50.98,105.75,90.1959,49.02,122.75,108.864,11.44,0.00,35.69,52.87
9c 8c 3d,48.9156,48.01,80.6531,73.0434,51.99,147.847,123.637,28.96,0.01,63.33,7.70
9c 8c 4c,79.7867,50.51,104.28,89.7655,49.49,124.22,109.127,12.04,0.00,36.97,50.99
9c 8c 4d,46.8906,47.39,80.2634,73.6456,52.61,148.236,122.496,29.16,0.01,64.02,6.80
9c 8c 5c,88.3995,49.67,100.755,88.1955,50.33,127.745,110.354,17.40,0.00,38.30,44.30
9c 8c 5d,62.0376,46.90,77.0754,71.4594,53.10,151.425,123.976,32.26,0.00,59.13,8.61
9c 8c 6c,85.4518,50.36,103.59,89.4326,49.64,124.91,109.407,16.14,0.00,36.40,47.46
9c 8c 6d,52.4186,47.00,77.8873,72.0464,53.00,150.613,123.562,37.52,0.01,54.79,7.68
9c 8c 7c,90.5204,49.96,100.699,87.6393,50.04,127.801,111.036,20.79,0.00,37.06,42.16
9c 8c 7d,70.8453,48.31,81.9836,73.7868,51.69,146.516,123.236,36.11,17.76,40.65,5.47
9c 8d 8c,29.0766,48.67,83.7971,74.8612,51.33,144.703,122.564,35.25,2.58,57.37,4.81
9c 8d 2c,43.3799,48.03,82.0749,74.2981,51.97,146.425,122.498,27.00,0.14,63.70,9.16
9c 8d 3c,49.4745,48.20,81.7115,73.6999,51.80,146.788,123.218,28.07,0.01,63.56,8.36
9c 8d 4c,45.3821,47.51,80.5652,73.7274,52.49,147.935,122.538,28.63,0.03,64.03,7.32
9c 8d 5c,60.2236,47.02,77.8792,72.008,52.98,150.621,123.615,32.08,0.01,58.31,9.60
9c 8d 6c,51.4503,47.13,78.7898,72.6779,52.87,149.71,123.127,37.23,0.01,54.29,8.47
9c 8d 7c,69.9333,48.39,82.2256,73.8839,51.61,146.274,123.22,35.86,15.78,42.47,5.90
9d 9c 2c,37.5638,50.25,85.6672,74.1299,49.75,142.833,124.815,28.81,3.53,55.42,12.24
9d 9c 3c,43.0216,50.32,85.862,74.1949,49.68,142.638,124.82,27.54,1.25,56.78,14.44
9d 9c 4c,36.026,49.73,84.0733,73.5097,50.27,144.427,124.904,28.53,0.55,60.00,10.92
9d 9c 5c,38.8634,49.03,83.6806,74.2084,50.97,144.819,123.529,29.42,0.01,60.73,9.84
9d 9c 6c,37.4005,49.35,86.1581,75.9008,50.65,142.342,122.196,29.90,0.02,58.13,11.95
9d 9c 7c,30.9437,49.10,85.4061,75.6336,50.90,143.094,122.22,31.52,0.02,58.71,9.74
9d 9c 8c,27.5476,48.63,80.9383,72.37,51.37,147.562,124.882,37.23,0.01,60.81,1.94
9h 9d 9c,19.169,50.80,80.2785,68.7135,49.20,148.222,130.973,39.84,42.60,3.82,13.74
9d 3c 2c,47.1209,48.99,80.4462,71.3899,51.01,148.054,126.203,27.64,5.43,59.71,7.21
9d 4c 2c,42.4312,48.53,80.0523,71.7256,51.47,148.448,125.388,27.99,11.36,53.96,6.69
9d 4c 3c,48.841,47.97,76.8606,69.6568,52.03,151.639,126.727,29.56,3.30,62.28,4.86
9d 5c 2c,42.7199,47.51,77.3474,70.7844,52.49,151.153,125.201,27.36,0.68,65.80,6.16
9d 5c 3c,51.2546,47.38,76.9073,70.5797,52.62,151.593,125.247,29.64,0.20,63.77,6.39
9d 5c 4c,54.0694,47.38,78.4165,71.9564,52.62,150.084,124.013,28.18,0.02,64.38,7.42
9d 6c 2c,43.7456,47.84,80.5636,73.2259,52.16,147.936,123.302,26.83,0.01,62.25,10.90
9d 6c 3c,52.3313,47.74,80.1533,73.0052,52.26,148.347,123.408,28.49,0.01,60.06,11.44
9d 6c 4c,46.6431,47.25,79.532,73.1867,52.75,148.968,122.779,28.09,0.01,62.29,9.62
9d 6c 5c,67.1319,47.31,79.8976,73.4246,52.69,148.602,122.625,28.69,0.01,57.28,14.02
9d 7c 2c,41.3025,48.30,83.2765,74.9662,51.70,145.223,122.124,24.55,0.07,61.90,13.49
9d 7c 3c,48.1557,47.96,80.371,72.8576,52.04,148.129,123.763,27.26,0.00,62.20,10.54
9d 7c 4c,45.4457,47.51,80.281,73.462,52.49,148.219,122.781,28.47,0.02,62.49,9.01
9d 7c 5c,53.5063,46.86,78.2515,72.6067,53.14,150.249,122.927,32.37,0.01,55.41,12.21
9d 7c 6c,61.3027,47.38,79.1811,72.6632,52.62,149.319,123.374,31.65,0.00,61.97,6.38
9d 8c 2c,43.7652,47.99,81.7662,74.0824,52.01,146.734,122.658,26.93,0.09,62.79,10.18
9d 8c 3c,50.3506,48.23,81.8404,73.7738,51.77,146.66,123.175,27.98,0.00,62.93,9.09
9d 8c 4c,46.0463,47.51,80.412,73.5947,52.49,148.088,122.654,28.63,0.01,63.60,7.77
9d 8c 5c,61.8117,47.06,78.0468,72.1132,52.94,150.453,123.554,31.91,0.00,58.41,9.68
9d 8c 6c,52.248,47.15,78.8952,72.7458,52.85,149.605,123.084,36.13,0.00,54.88,8.99
9d 8c 7c,76.0221,48.47,83.5397,74.9429,51.53,144.96,122.3,34.58,20.48,38.43,6.50
9h 9d 2c,31.7285,51.09,78.3587,66.6846,48.91,150.141,133.467,32.86,22.95,38.04,6.15
9h 9d 3c,33.1879,51.15,78.3945,66.6423,48.85,150.105,133.587,31.69,15.14,47.48,5.69
9h 9d 4c,29.9839,50.29,76.8384,66.4261,49.71,151.662,132.658,33.36,17.53,45.66,3.45
9h 9d 5c,32.4283,49.35,75.9915,66.9453,50.65,152.508,130.924,32.08,3.12,64.06,0.74
9h 9d 6c,28.6962,49.77,78.8431,68.8786,50.23,149.657,129.536,33.48,4.58,61.85,0.09
9h 9d 7c,20.8359,48.83,74.7324,66.5451,51.17,153.768,130.648,34.65,6.28,58.93,0.14
9h 9d 8c,8.53327,41.23,35.8254,37.7822,58.77,192.675,142.533,38.49,17.04,44.43,0.05
9h 2d 2c,32.6823,50.32,83.0014,71.7095,49.68,145.499,127.348,33.51,54.51,4.25,7.73
9h 3d 3c,30.8405,50.83,85.5548,73.1788,49.17,142.945,126.402,31.96,53.43,2.51,12.09
9h 3d 2c,41.3685,49.41,73.1446,64.3692,50.59,155.356,133.505,30.76,30.42,36.09,2.73
9h 4d 4c,31.2673,50.58,87.0517,74.8266,49.42,141.448,124.446,33.45,48.15,10.72,7.68
9h 4d 2c,37.7376,48.78,72.5257,64.6386,51.22,155.974,132.408,31.63,34.69,33.00,0.68
9h 4d 3c,42.9974,48.39,71.4629,64.2133,51.61,157.037,132.286,31.07,25.46,42.98,0.49
9h 5d 5c,35.532,50.01,85.9452,74.7244,49.99,142.555,123.979,34.27,31.95,30.17,3.61
9h 5d 2c,38.0916,47.40,68.0745,62.4439,52.60,160.426,132.602,30.62,21.76,47.62,0.00
9h 5d 3c,47.381,47.91,71.8585,65.2146,52.09,156.642,130.74,32.61,14.86,52.36,0.17
9h 5d 4c,47.62,48.00,72.9471,66.0747,52.00,155.553,130.062,30.15,11.61,58.20,0.04
9h 6d 6c,31.2178,50.19,85.5705,74.1206,49.81,142.929,124.773,34.90,38.53,23.09,3.47
9h 6d 2c,37.0045,47.73,70.2719,64.0083,52.27,158.228,131.622,28.23,16.15,55.61,0.00
9h 6d 3c,44.7578,47.91,71.0937,64.5204,52.09,157.406,131.378,30.06,6.74,63.18,0.02
9h 6d 4c,40.4378,47.19,70.7765,65.2081,52.81,157.724,129.856,29.70,9.66,60.64,0.00
9h 6d 5c,60.7442,47.73,77.4215,70.5203,52.27,151.079,125.675,30.87,0.00,64.90,4.23
9h 7d 7c,21.1468,49.53,84.2992,74.0001,50.47,144.201,124.223,36.87,31.43,29.20,2.50
9h 7d 2c,36.2903,48.68,78.4919,70.0974,51.31,150.008,127.099,28.26,17.28,54.33,0.13
9h 7d 3c,41.1724,48.13,73.2594,66.1779,51.87,155.241,130.127,32.40,12.18,55.29,0.12
9h 7d 4c,39.2576,47.52,73.3506,67.1177,52.48,155.149,128.527,33.70,10.06,56.08,0.16
9h 7d 5c,51.5633,47.85,77.4568,70.3775,52.15,151.043,125.931,34.51,0.01,61.70,3.78
9h 7d 6c,53.9162,47.16,76.5478,70.5687,52.84,151.952,125.035,35.80,0.00,63.67,0.53
9h 8d 8c,10.0565,43.79,50.542,50.1833,56.21,177.958,137.648,37.92,22.19,39.86,0.03
9h 8d 2c,35.4715,47.54,73.1313,66.8871,52.46,155.369,128.761,29.16,14.42,56.40,0.02
9h 8d 3c,41.7578,48.04,74.941,67.8206,51.96,153.559,128.5,29.15,6.29,64.54,0.02
9h 8d 4c,38.0334,47.15,72.7512,67.0926,52.85,155.749,128.119,31.54,5.30,63.16,0.00
9h 8d 5c,60.4775,47.36,77.7431,71.3715,52.64,150.757,124.518,33.15,0.00,60.05,6.79
9h 8d 6c,49.1725,47.72,79.069,72.0388,52.28,149.431,124.276,40.64,0.01,57.23,2.12
9h 8d 7c,62.7754,47.94,77.9076,70.6554,52.06,150.592,125.771,40.14,0.02,59.79,0.06
Ac 2d 2c,63.8577,57.41,124.714,94.4455,42.59,103.786,105.957,0.00,20.70,1.14,78.16
Ac 3c 2c,99.9968,53.37,109.604,89.2942,46.63,118.896,110.853,8.98,21.08,5.66,64.28
Ac 3c 2d,85.017,53.89,105.664,85.2561,46.11,122.836,115.814,0.01,25.16,5.58,69.25
Ac 3d 3c,66.6639,56.91,122.972,93.9435,43.09,105.528,106.486,0.00,20.57,1.70,77.73
Ac 3d 2c,85.3179,53.85,105.446,85.1372,46.15,123.054,115.929,0.01,24.71,6.35,68.93
Ac 4c 2c,96.439,54.30,113.88,91.1769,45.70,114.62,109.058,7.68,16.49,5.94,69.89
Ac 4c 2d,73.4862,54.51,110.596,88.2167,45.49,117.904,112.685,0.00,25.31,3.46,71.23
Ac 4c 3c,99.1461,53.72,112.055,90.6988,46.28,116.445,109.385,8.97,18.77,6.56,65.71
Ac 4c 3d,78.8446,53.54,106.279,86.3112,46.46,122.221,114.369,0.01,23.89,7.41,68.69
Ac 4d 4c,69.1038,56.71,122.576,93.9809,43.29,105.924,106.378,0.00,22.68,0.01,77.31
Ac 4d 2c,73.6552,54.44,110.215,88.0188,45.56,118.285,112.886,0.00,28.38,0.01,71.61
Ac 4d 3c,79.0621,53.53,106.202,86.2569,46.47,122.298,114.428,0.02,23.84,7.95,68.18
Ac 5c 2c,95.4633,54.15,113.437,91.0787,45.85,115.063,109.114,6.91,18.92,5.02,69.15
Ac 5c 2d,76.4882,54.48,109.496,87.3829,45.52,119.004,113.668,0.00,27.79,0.00,72.20
Ac 5c 3c,97.9601,53.67,112.063,90.7805,46.33,116.437,109.273,7.68,21.15,4.96,66.20
Ac 5c 3d,80.9816,53.63,105.9,85.855,46.37,122.6,114.953,0.00,27.80,1.96,70.24
Ac 5c 4c,98.1217,53.09,109.878,89.9929,46.91,118.622,109.933,8.67,19.93,8.34,63.06
Ac 5c 4d,82.3192,53.17,104.071,85.1009,46.83,124.429,115.524,0.01,25.76,5.61,68.62
Ac 5d 5c,73.6697,56.01,119.271,92.5907,43.99,109.229,107.95,0.00,22.73,1.00,76.27
Ac 5d 2c,77.2937,54.37,109.051,87.2062,45.63,119.449,113.815,0.00,26.98,1.68,71.34
Ac 5d 3c,81.8055,53.58,105.786,85.8469,46.42,122.714,114.929,0.01,29.70,0.00,70.30
Ac 5d 4c,82.8081,53.11,103.83,85.0025,46.89,124.67,115.595,0.02,26.75,4.36,68.87
Ac 6c 2c,88.3532,54.75,114.917,91.2652,45.25,113.583,109.126,7.31,20.54,1.72,70.43
Ac 6c 2d,72.7249,55.69,114.771,89.6057,44.31,113.729,111.592,0.00,27.39,0.00,72.61
Ac 6c 3c,94.0052,54.16,113.616,91.2082,45.84,114.884,108.965,7.38,19.29,4.94,68.39
Ac 6c 3d,78.1447,54.57,110.179,87.7918,45.43,118.321,113.226,0.00,28.65,0.05,71.30
Ac 6c 4c,91.5454,54.36,114.924,91.9168,45.64,113.576,108.199,6.85,22.02,0.00,71.13
Ac 6c 4d,74.3565,54.38,111.064,88.8007,45.62,117.436,111.92,0.00,28.56,0.00,71.43
Ac 6c 5c,95.8502,53.60,112.97,91.635,46.40,115.53,108.258,7.49,18.97,6.44,67.09
Ac 6c 5d,80.5698,53.44,106.905,86.9701,46.56,121.595,113.557,0.38,26.64,3.57,69.41
Ac 6d 6c,72.6276,56.62,120.44,92.4774,43.37,108.06,108.317,0.00,22.44,0.01,77.55
Ac 6d 2c,74.3696,55.46,114.166,89.4957,44.54,114.334,111.617,0.01,27.59,0.01,72.39
Ac 6d 3c,80.0713,54.39,110.075,87.9968,45.61,118.425,112.882,0.02,28.82,0.01,71.15
Ac 6d 4c,75.2827,54.27,110.648,88.6516,45.73,117.852,112.04,0.00,26.76,2.05,71.19
Ac 6d 5c,81.1224,53.36,106.851,87.0582,46.64,121.649,113.41,0.58,29.08,0.00,70.34
Ac 7c 2c,87.2846,54.93,115.948,91.7813,45.07,112.552,108.568,6.57,18.94,2.21,72.28
Ac 7c 2d,69.6436,55.93,116.267,90.3835,44.07,112.233,110.725,0.00,26.83,0.00,73.16
Ac 7c 3c,93.2336,54.20,114.283,91.6799,45.80,114.217,108.421,6.85,17.34,6.56,69.25
Ac 7c 3d,75.2379,54.53,110.594,88.1818,45.47,117.906,112.738,0.00,26.66,2.65,70.69
Ac 7c 4c,90.2486,54.38,115.031,91.9725,45.62,113.468,108.139,6.13,14.94,8.18,70.75
Ac 7c 4d,71.8278,54.37,111.206,88.9359,45.63,117.294,111.752,0.00,26.07,3.21,70.73
Ac 7c 5c,90.5165,54.12,115.009,92.3876,45.88,113.491,107.56,5.52,20.01,2.11,72.36
Ac 7c 5d,74.2598,53.73,109.316,88.4637,46.27,119.184,111.985,0.00,22.78,8.51,68.71
Ac 7c 6c,91.6026,53.42,111.752,90.9507,46.58,116.748,108.979,8.91,18.72,8.91,63.46
Ac 7c 6d,74.6808,53.21,105.48,86.1907,46.79,123.02,114.31,2.45,26.99,4.14,66.42
Ac 7d 7c,71.2622,56.79,123.079,94.2273,43.21,105.421,106.078,0.00,21.30,0.64,78.06
Ac 7d 2c,71.5248,55.56,115.117,90.0861,44.44,113.383,110.927,0.00,27.22,0.02,72.76
Ac 7d 3c,77.2835,54.26,109.932,88.0861,45.74,118.568,112.708,0.01,26.82,2.83,70.35
Ac 7d 4c,73.7428,54.19,110.632,88.7613,45.81,117.868,111.871,0.01,23.71,6.31,69.98
Ac 7d 5c,75.4296,53.64,108.971,88.3235,46.36,119.529,112.105,0.00,22.69,8.65,68.65
Ac 7d 6c,75.3612,53.20,105.543,86.2624,46.80,122.957,114.221,2.35,25.96,5.70,65.99
Ac 8c 2c,87.2513,54.69,114.979,91.4048,45.31,113.521,108.936,7.17,17.93,3.61,71.29
Ac 8c 2d,70.6816,55.75,116.049,90.51,44.25,112.451,110.481,0.00,27.50,0.00,72.50
Ac 8c 3c,92.8244,54.37,114.683,91.7096,45.63,113.817,108.449,7.27,19.19,2.88,70.67
Ac 8c 3d,75.5853,55.01,112.791,89.1421,44.99,115.709,111.828,0.00,28.18,0.00,71.82
Ac 8c 4c,89.1892,54.24,114.499,91.7853,45.76,114.001,108.31,7.03,16.37,7.09,69.51
Ac 8c 4d,72.9407,54.43,111.423,89.0105,45.57,117.077,111.693,0.00,25.38,4.80,69.82
Ac 8c 5c,90.8543,53.88,114.026,92.0173,46.12,114.474,107.911,6.86,17.22,6.98,68.94
Ac 8c 5d,76.5966,53.59,108.548,88.074,46.41,119.952,112.363,0.21,24.62,6.71,68.45
Ac 8c 6c,84.4943,54.16,114.279,91.7351,45.84,114.221,108.343,7.39,18.67,5.26,68.68
Ac 8c 6d,72.2185,53.90,110.233,88.9199,46.10,118.267,111.54,0.96,29.31,0.00,69.73
Ac 8c 7c,85.3511,53.60,111.649,90.5587,46.40,116.851,109.503,10.56,22.43,5.43,61.58
Ac 8c 7d,70.1694,53.30,105.247,85.8578,46.70,123.253,114.743,3.46,29.41,2.94,64.20
Ac 8d 8c,75.6648,56.71,120.506,92.3822,43.29,107.994,108.475,0.00,20.49,3.90,75.61
Ac 8d 2c,71.7138,55.47,115.194,90.2852,44.53,113.306,110.639,0.00,27.80,0.01,72.20
Ac 8d 3c,76.5494,54.83,112.364,89.1028,45.17,116.136,111.783,0.00,28.35,0.00,71.65
Ac 8d 4c,74.1431,54.35,111.288,89.0273,45.65,117.211,111.636,0.00,26.56,2.92,70.52
Ac 8d 5c,77.1712,53.59,108.6,88.1025,46.41,119.9,112.334,0.22,24.74,6.22,68.82
Ac 8d 6c,72.1808,53.95,110.634,89.1624,46.05,117.866,111.28,0.61,29.57,0.01,69.81
Ac 8d 7c,69.9162,53.42,105.931,86.2209,46.58,122.569,114.402,3.14,27.75,5.23,63.88
Ac 9c 2c,85.1532,54.66,112.721,89.668,45.34,115.779,111.015,9.94,24.09,0.00,65.97
Ac 9c 2d,73.5421,56.17,116.269,89.9937,43.83,112.231,111.336,0.00,28.39,0.01,71.61
Ac 9c 3c,90.2669,54.30,111.746,89.483,45.70,116.754,111.067,10.48,23.89,1.50,64.13
Ac 9c 3d,78.8583,55.35,112.532,88.3984,44.65,115.969,112.92,0.11,29.18,0.01,70.70
Ac 9c 4c,88.3226,54.65,113.786,90.5327,45.35,114.714,109.968,9.16,21.45,2.12,67.27
Ac 9c 4d,77.2992,55.61,114.93,89.8561,44.39,113.57,111.239,0.04,27.84,0.01,72.11
Ac 9c 5c,87.2541,54.07,111.982,90.0478,45.93,116.518,110.295,9.18,21.35,5.27,64.20
Ac 9c 5d,79.521,54.27,108.841,87.1943,45.73,119.659,113.772,1.04,27.52,3.54,67.90
Ac 9c 6c,82.6274,54.25,112.133,89.8763,45.75,116.367,110.577,9.76,24.89,1.35,64.01
Ac 9c 6d,77.2083,54.49,109.495,87.36,45.51,119.005,113.704,2.69,28.56,0.71,68.03
Ac 9c 7c,78.6717,54.21,112.071,89.8798,45.79,116.429,110.559,10.07,26.62,0.00,63.31
Ac 9c 7d,72.4648,54.29,110.036,88.1224,45.71,118.464,112.681,3.20,29.65,0.00,67.15
Ac 9c 8c,81.8501,53.39,106.049,86.3682,46.61,122.451,114.213,14.57,24.83,8.76,51.84
Ac 9c 8d,75.5349,54.28,106.832,85.5683,45.72,121.668,115.71,5.77,32.21,0.00,62.02
Ac 9d 9c,79.9216,57.36,119.242,90.3816,42.64,109.258,111.41,0.00,24.71,0.00,75.29
Ac 9d 2c,74.1953,55.99,116.263,90.2791,44.01,112.237,110.886,0.00,28.59,0.00,71.41
Ac 9d 3c,79.0679,55.18,112.824,88.8919,44.82,115.676,112.223,0.02,29.35,0.01,70.62
Ac 9d 4c,77.7471,55.57,115.26,90.1749,44.43,113.24,110.822,0.00,27.68,0.01,72.31
Ac 9d 5c,79.2429,54.39,109.838,87.8062,45.61,118.662,113.111,0.48,28.90,1.95,68.68
Ac 9d 6c,76.2505,54.71,110.915,88.1489,45.29,117.585,112.875,1.83,29.91,0.00,68.25
Ac 9d 7c,70.9692,54.60,111.399,88.7058,45.40,117.101,112.148,2.30,30.18,0.00,67.51
