Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\2c2d2h.cfr
Action Line,Root CHECK
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 230 freq,BET 115 freq,BET 69 freq,CHECK freq
6c 4c 2d,54.8887,49.01,83.1739,73.7855,50.99,145.326,123.918,29.28,1.91,50.79,18.02
6c 4c 3c,99.9997,51.15,106.724,90.7181,48.85,121.776,108.384,7.24,0.00,39.30,53.46
6c 4c 3d,65.4446,49.29,84.8397,74.8381,50.71,143.66,123.17,28.34,0.01,50.45,21.20
6c 4d 4c,42.2301,49.86,87.3961,76.2037,50.14,141.104,122.366,30.11,12.39,39.85,17.66
6c 4d 2c,55.7047,49.04,83.7705,74.2714,50.96,144.729,123.479,29.29,1.22,51.53,17.96
6c 4d 3c,66.6312,49.31,85.2701,75.1925,50.69,143.23,122.842,27.99,0.01,50.96,21.04
6c 5c 2c,99.961,51.13,108.131,91.9421,48.87,120.369,107.097,2.93,0.01,33.32,63.75
6c 5c 2d,60.4104,48.53,82.1404,73.5864,51.47,146.36,123.64,29.18,0.35,52.94,17.53
6c 5c 3c,99.9998,50.68,104.59,89.7247,49.32,123.91,109.237,5.94,0.00,44.17,49.89
6c 5c 3d,69.8023,48.85,83.6801,74.4805,51.15,144.82,123.096,28.31,0.01,52.04,19.64
6c 5c 4c,99.9999,49.87,101.049,88.089,50.12,127.451,110.551,5.14,0.00,47.84,47.02
6c 5c 4d,79.6989,48.59,82.9198,74.1915,51.41,145.58,123.127,27.32,0.00,56.08,16.60
6c 5d 5c,47.1484,49.36,86.0458,75.7998,50.64,142.454,122.296,28.12,4.00,49.08,18.80
6c 5d 2c,60.6864,48.66,83.0852,74.2434,51.34,145.415,123.138,29.22,1.19,51.92,17.67
6c 5d 3c,69.8877,48.93,84.1156,74.7485,51.07,144.384,122.913,28.46,0.07,52.01,19.46
6c 5d 4c,78.5701,48.67,83.2253,74.345,51.33,145.275,123.056,27.47,0.01,55.70,16.82
6d 6c 2c,42.948,50.72,88.4206,75.794,49.28,140.079,123.591,29.34,18.10,34.12,18.45
6d 6c 3c,49.3482,50.59,88.3972,75.9775,49.41,140.103,123.272,29.02,10.99,40.42,19.57
6d 6c 4c,43.6869,50.09,86.8067,75.3467,49.91,141.693,123.437,29.70,18.07,34.77,17.47
6d 6c 5c,46.0897,49.64,86.3259,75.6164,50.36,142.174,122.737,27.97,10.61,43.95,17.47
6h 6d 6c,20.0359,50.37,85.566,73.8556,49.63,142.934,125.223,37.68,39.44,0.02,22.86
6d 3c 2c,66.2684,49.18,84.0858,74.3326,50.82,144.414,123.559,26.19,1.99,51.26,20.56
6d 4c 2c,56.2042,49.04,83.6562,74.1618,50.96,144.844,123.59,29.17,0.01,53.30,17.52
6d 4c 3c,66.7799,49.32,84.9449,74.8768,50.68,143.555,123.167,28.05,0.09,51.27,20.60
6d 5c 2c,60.3205,48.65,82.5879,73.8138,51.35,145.912,123.536,29.05,0.01,53.41,17.53
6d 5c 3c,69.3668,48.92,83.7277,74.4106,51.08,144.772,123.233,28.56,0.28,51.47,19.69
6d 5c 4c,80.428,48.56,82.4402,73.8084,51.44,146.06,123.46,27.40,0.01,57.02,15.56
6h 6d 2c,35.5842,51.08,84.7181,72.1114,48.92,143.782,127.786,31.98,37.03,13.83,17.16
6h 6d 3c,37.7616,50.79,83.0249,71.0724,49.21,145.475,128.531,32.28,27.25,24.44,16.03
6h 6d 4c,38.6056,50.52,83.9169,72.2215,49.48,144.583,127.043,31.97,36.00,15.30,16.74
6h 6d 5c,37.2957,50.15,82.8728,71.8433,49.85,145.627,127.021,30.61,31.69,23.40,14.30
6h 2d 2c,37.26,51.03,86.1361,73.3831,48.97,142.364,126.409,33.32,42.49,6.71,17.48
6h 3d 3c,34.7272,51.03,86.0572,73.3181,48.97,142.443,126.475,32.15,36.68,11.30,19.87
6h 3d 2c,56.2222,49.96,76.8157,66.8489,50.04,151.684,131.795,32.30,7.14,51.25,9.32
6h 4d 4c,37.1775,50.55,83.4638,71.7901,49.45,145.036,127.517,34.16,31.26,17.13,17.46
6h 4d 2c,52.1682,50.01,79.7753,69.359,49.99,148.725,129.346,33.49,18.61,35.95,11.94
6h 4d 3c,56.7926,50.05,79.7572,69.2877,49.95,148.743,129.466,31.88,1.76,55.26,11.10
6h 5d 5c,36.4803,50.15,80.5917,69.8659,49.85,147.908,129.011,31.43,20.89,33.45,14.22
6h 5d 2c,53.8434,49.47,75.8375,66.6511,50.53,152.662,131.36,32.59,3.60,56.12,7.69
6h 5d 3c,60.596,49.69,78.4919,68.6753,50.31,150.008,129.646,31.29,0.00,59.25,9.46
6h 5d 4c,71.995,49.25,78.1853,69.0247,50.75,150.315,128.773,29.23,0.00,59.71,11.06
7c 2d 2c,36.4742,50.54,89.7406,77.1971,49.46,138.759,121.985,28.56,28.85,22.10,20.49
7c 3c 2c,97.9897,52.00,109.766,91.7863,48.00,118.734,107.538,3.61,0.00,31.87,64.52
7c 3c 2d,44.1378,49.69,81.9239,71.6862,50.31,146.576,126.666,27.10,4.08,49.67,19.15
7c 3d 3c,36.6803,50.68,88.1563,75.6325,49.32,140.344,123.715,28.86,22.11,28.71,20.31
7c 3d 2c,43.815,49.71,81.9458,71.675,50.29,146.554,126.7,27.00,1.64,52.65,18.71
7c 4c 2c,91.6804,51.95,109.839,91.9198,48.05,118.661,107.38,5.53,0.00,33.29,61.18
7c 4c 2d,42.4181,49.11,81.0708,71.7805,50.89,147.429,125.947,29.69,10.94,42.67,16.69
7c 4c 3c,99.9991,50.88,105.283,89.9736,49.12,123.217,109.056,7.73,0.00,42.28,49.99
7c 4c 3d,61.7738,48.96,82.5705,73.3262,51.04,145.93,124.309,27.90,2.68,50.11,19.31
7c 4d 4c,38.0924,49.91,86.019,74.936,50.09,142.481,123.671,29.99,16.34,35.52,18.14
7c 4d 2c,43.2446,49.19,81.8281,72.3201,50.81,146.672,125.519,29.40,10.11,44.05,16.44
7c 4d 3c,63.6854,48.99,83.3902,74.0073,51.01,145.11,123.686,27.61,2.29,50.98,19.13
7c 5c 2c,93.0447,51.71,109.541,92.109,48.29,118.959,107.098,4.83,0.00,32.74,62.44
7c 5c 2d,44.7034,48.68,81.3224,72.6389,51.32,147.178,124.679,28.97,2.26,54.76,14.01
7c 5c 3c,99.6686,51.12,106.978,90.9885,48.88,121.522,108.089,8.21,0.00,37.89,53.90
7c 5c 3d,58.0741,48.73,81.9686,73.1379,51.27,146.531,124.257,29.55,1.36,51.34,17.76
7c 5c 4c,99.9957,50.69,105.284,90.3002,49.31,123.216,108.649,8.49,0.00,39.46,52.05
7c 5c 4d,64.9472,48.69,83.4771,74.5469,51.31,145.023,122.879,29.78,0.03,52.73,17.46
7c 5d 5c,41.2835,49.53,86.1426,75.622,50.47,142.357,122.629,28.32,9.13,44.69,17.87
7c 5d 2c,46.4519,48.76,82.3801,73.4502,51.24,146.12,123.996,28.82,4.10,52.88,14.20
7c 5d 3c,60.6926,48.80,83.2189,74.1414,51.20,145.281,123.374,29.18,1.09,52.11,17.62
7c 5d 4c,65.8096,48.73,83.8538,74.8166,51.27,144.646,122.664,29.70,0.01,52.91,17.38
7c 6c 2c,99.9275,51.22,108.859,92.401,48.78,119.641,106.643,1.35,0.00,31.49,67.16
7c 6c 2d,51.4388,48.53,82.1048,73.5641,51.47,146.395,123.655,27.55,0.50,56.70,15.26
7c 6c 3c,99.9994,49.89,101.197,88.187,50.11,127.303,110.461,3.70,0.00,49.06,47.24
7c 6c 3d,70.026,48.21,79.3614,71.5717,51.79,149.139,125.205,28.96,0.08,59.27,11.69
7c 6c 4c,99.9963,50.37,104.605,90.2881,49.63,123.895,108.544,9.53,0.00,41.52,48.95
7c 6c 4d,66.7811,47.99,80.0787,72.543,52.01,148.421,124.086,34.42,0.01,52.52,13.04
7c 6c 5c,99.9994,49.05,98.4864,87.2924,50.95,130.013,110.956,11.56,0.00,50.39,38.04
