Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\Th9d8c.cfr
Action Line,Root CHECK BET 15 RAISE 60
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 970 freq,RAISE 150 freq,CALL freq,FOLD freq
6c 4c 2c,4.43579,58.43,98.8307,125.292,41.57,23.8669,63.7928,0.00,0.00,57.99,42.01
6c 4c 2d,6.69801,55.05,96.2188,129.481,44.95,23.4634,57.9925,0.00,6.21,58.68,35.10
6c 4c 3c,6.22228,58.94,97.7434,122.839,41.06,25.0037,67.6631,0.00,0.33,57.70,41.97
6c 4c 3d,8.3066,54.50,95.5913,129.917,45.50,24.3166,59.3851,0.00,7.67,56.36,35.97
6c 4d 4c,4.87946,55.54,96.5165,128.725,44.46,24.5452,61.3416,0.00,4.89,58.95,36.17
6c 4d 2c,6.65421,55.09,96.2524,129.412,44.91,23.3726,57.8308,0.00,6.46,58.45,35.09
6c 4d 3c,8.36925,54.54,95.6331,129.881,45.46,24.2242,59.2101,0.00,8.00,56.16,35.83
6c 5c 2c,5.37055,58.84,98.096,123.493,41.16,24.5162,66.1821,0.00,0.42,58.01,41.57
6c 5c 2d,6.80787,55.61,96.4508,128.474,44.39,22.748,56.9405,0.00,7.42,58.06,34.52
6c 5c 3c,6.35788,59.20,97.571,122.095,40.80,25.0555,68.2266,0.00,1.62,56.50,41.89
6c 5c 3d,8.41927,55.63,96.4168,128.38,44.37,23.229,58.1717,0.00,7.04,57.39,35.58
6c 5c 4c,7.03362,58.18,96.7956,123.229,41.82,25.8171,68.6004,0.00,1.63,57.11,41.25
6c 5c 4d,11.545,55.72,95.8598,127.427,44.28,24.1943,60.7154,0.00,8.96,54.44,36.60
6c 5d 5c,4.9162,55.98,96.5638,127.773,44.02,24.8449,62.713,0.00,4.73,58.65,36.63
6c 5d 2c,6.77539,55.61,96.4404,128.456,44.39,22.7386,56.9194,0.00,7.68,57.76,34.56
6c 5d 3c,8.42028,55.63,96.4417,128.411,44.37,23.1707,58.0272,0.00,7.04,57.60,35.36
6c 5d 4c,11.4328,55.69,95.8026,127.418,44.31,24.259,60.8376,0.00,9.15,54.22,36.63
6d 6c 2c,4.14448,54.98,95.5213,128.687,45.02,25.9187,63.9734,0.00,6.35,57.08,36.56
6d 6c 3c,4.83957,55.00,95.5233,128.656,45.00,25.8568,63.8409,0.00,5.79,58.00,36.20
6d 6c 4c,5.1035,55.39,95.8753,128.219,44.61,25.5381,63.6066,0.00,5.62,58.00,36.38
6d 6c 5c,4.87095,55.70,95.9285,127.57,44.30,25.3253,63.5217,0.00,6.14,57.70,36.16
6h 6d 6c,0.48532,54.50,92.8497,126.188,45.50,27.2326,66.5083,0.00,5.54,62.00,32.46
6d 3c 2c,6.31819,54.20,96.2119,131.493,45.80,23.5388,57.1043,0.00,6.47,58.78,34.76
6d 4c 2c,6.69409,55.25,96.3118,129.115,44.75,23.4399,58.2057,0.00,5.67,59.52,34.82
6d 4c 3c,8.34626,54.55,95.5407,129.728,45.45,24.3653,59.5702,0.00,7.90,56.33,35.77
6d 5c 2c,6.94313,55.71,96.3627,128.133,44.29,23.0002,57.6975,0.00,7.17,58.42,34.41
6d 5c 3c,8.47218,55.69,96.3932,128.215,44.31,23.3294,58.5,0.00,6.99,57.60,35.41
6d 5c 4c,11.4733,55.79,95.7375,127.119,44.21,24.3523,61.2004,0.00,9.18,54.16,36.66
6h 6d 2c,3.83574,53.77,95.2128,131.168,46.23,25.93,62.3204,0.00,5.27,60.79,33.94
6h 6d 3c,4.50733,53.84,95.3885,131.226,46.16,25.7126,61.8988,0.00,5.19,60.73,34.08
6h 6d 4c,5.13248,54.57,95.6366,129.826,45.43,25.4665,62.2805,0.00,5.50,59.83,34.67
6h 6d 5c,5.0536,55.40,95.6724,127.929,44.60,25.4177,63.3179,0.00,6.67,58.16,35.17
6h 2d 2c,3.36161,54.17,95.9555,131.209,45.83,24.0867,58.3986,0.00,6.91,60.29,32.80
6h 3d 3c,4.13155,53.64,95.981,132.537,46.36,24.3089,58.2655,0.00,7.17,59.35,33.48
6h 3d 2c,6.08337,52.93,96.2898,134.763,47.07,22.8701,53.9826,0.00,5.02,62.40,32.58
6h 4d 4c,4.66364,54.49,96.1496,130.7,45.51,24.5725,59.9962,0.00,4.61,61.35,34.04
6h 4d 2c,6.65605,54.56,96.5288,131.059,45.44,22.5254,55.0766,0.00,4.97,62.35,32.68
6h 4d 3c,8.88207,54.79,96.2332,130.115,45.21,23.2854,57.2217,0.00,8.82,55.86,35.32
6h 5d 5c,4.93257,55.50,96.0431,128.189,44.50,25.235,63.0064,0.00,5.20,59.31,35.49
6h 5d 2c,6.81363,55.44,96.6566,129.139,44.56,21.9195,54.6595,0.00,6.79,60.78,32.43
6h 5d 3c,8.90614,55.90,96.8589,128.351,44.10,22.4416,56.5413,0.00,8.02,56.95,35.03
6h 5d 4c,12.4422,56.04,97.038,128.267,43.96,22.6477,57.2421,0.00,7.75,57.13,35.12
7c 2d 2c,4.52833,54.90,96.4506,130.143,45.10,24.122,59.425,0.00,7.39,56.40,36.21
7c 3c 2c,2.89355,57.23,100.15,129.623,42.77,22.3974,58.1868,0.00,0.00,57.83,42.17
7c 3c 2d,6.07276,55.49,97.4607,130.105,44.51,21.8727,54.599,0.00,3.41,62.96,33.63
7c 3d 3c,5.60039,54.69,96.5677,130.788,45.31,23.9849,58.8204,0.00,6.62,57.59,35.79
7c 3d 2c,5.97619,55.44,97.3937,130.14,44.56,21.9337,54.6863,0.00,3.77,62.56,33.67
7c 4c 2c,3.46212,57.45,99.9107,128.824,42.55,22.7028,59.2823,0.00,0.00,57.92,42.08
7c 4c 2d,7.05136,55.74,97.0878,129.027,44.26,22.275,55.9168,0.00,2.28,64.28,33.44
7c 4c 3c,5.25435,58.03,99.5815,127.117,41.97,23.0281,60.962,0.00,0.00,58.00,42.00
7c 4c 3d,8.17784,53.86,95.7857,131.739,46.14,23.7669,57.2319,0.00,6.36,58.54,35.10
7c 4d 4c,6.00652,55.23,96.7632,129.777,44.77,24.1871,60.029,0.00,3.64,60.50,35.86
7c 4d 2c,6.92585,55.66,97.0266,129.137,44.34,22.2842,55.8357,0.00,2.52,64.14,33.35
7c 4d 3c,8.23304,53.90,95.7192,131.545,46.10,23.7814,57.3189,0.00,6.86,58.08,35.06
7c 5c 2c,4.37073,58.10,99.6047,126.996,41.90,23.0262,61.0572,0.00,0.00,58.08,41.92
7c 5c 2d,7.16744,55.86,97.3959,129.145,44.14,21.9638,55.2932,0.00,3.73,61.85,34.42
7c 5c 3c,5.7185,58.84,98.6781,124.233,41.16,23.9799,64.7284,0.00,0.04,58.20,41.76
7c 5c 3d,7.98439,55.31,96.4476,129.171,44.69,23.0778,57.3756,0.00,5.56,59.23,35.20
7c 5c 4c,7.07466,58.17,97.6193,124.317,41.83,25.0912,66.6428,0.00,0.81,57.65,41.54
7c 5c 4d,10.5804,54.24,95.8108,130.852,45.76,23.9584,58.1712,0.00,8.78,55.10,36.12
