Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\Th9d8c.cfr
Action Line,Root CHECK BET 15 RAISE 60 RAISE 970
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,CALL freq,FOLD freq
6d 5c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
6d 5c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
6d 5c 4c,0,15.85,-90.8245,-318.361,84.15,1145.1,124.842,29.37,70.63
6h 6d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
6h 6d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
6h 6d 4c,0.00001,10.35,-96.861,-520.065,89.65,1159.47,118.65,20.21,79.79
6h 6d 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
6h 2d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
6h 3d 3c,0.00001,9.02,-126.408,-778.963,90.99,1187.05,119.694,22.37,77.63
6h 3d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
6h 4d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
6h 4d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
6h 4d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
6h 5d 5c,0.00003,12.02,-73.7395,-340.841,87.98,1138.3,118.697,18.06,81.94
6h 5d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
6h 5d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
6h 5d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 2d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 3c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 3c 2d,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 3d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 3d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 4c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 4c 2d,0.00003,14.31,-135.806,-527.233,85.69,1189.84,127.39,29.63,70.37
7c 4c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 4c 3d,0.00006,33.21,16.5351,27.6598,66.79,1039.21,142.748,27.76,72.24
7c 4d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 4d 2c,0.00002,13.62,-134.685,-549.224,86.38,1190.39,126.436,27.80,72.20
7c 4d 3c,0.00002,31.99,13.1087,22.7672,68.01,1042.52,140.627,27.88,72.12
7c 5c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 5c 2d,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 5c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 5c 3d,0,34.42,14.4112,23.2603,65.58,1041.06,145.639,28.06,71.94
7c 5c 4c,0.00002,0.00,-262.335,-Infinity,100.00,1317.1,120.838,28.83,71.17
7c 5c 4d,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 5d 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 5d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 5d 3c,0.00001,15.34,-120.249,-435.585,84.66,1174.4,127.259,29.51,70.49
7c 5d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 6c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 6c 2d,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 6c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 6c 3d,0.00001,19.25,-75.3388,-217.467,80.75,1131.37,128.533,27.43,72.57
7c 6c 4c,0.00002,0.00,-262.174,-Infinity,100.00,1316.97,120.822,28.81,71.19
7c 6c 4d,0.00004,21.83,-47.4287,-120.709,78.17,1104.84,129.666,25.92,74.08
7c 6c 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 6c 5d,0.00007,16.94,-85.5068,-280.501,83.07,1139.28,125.828,29.93,70.07
7c 6d 6c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 6d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 6d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 6d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
7c 6d 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
7d 7c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7d 7c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
7d 7c 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
7d 7c 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
7d 7c 6c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 7d 7c,0,nan,nan,nan,nan,nan,nan,nan,nan
7d 3c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7d 4c 2c,0,14.55,-134.438,-513.482,85.45,1188.79,127.629,29.29,70.71
7d 4c 3c,0.00002,29.53,8.1464,15.3265,70.47,1050.55,136.769,24.51,75.49
7d 5c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7d 5c 3c,0.00007,15.53,-118.257,-422.972,84.47,1171.59,127.252,30.40,69.60
7d 5c 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
7d 6c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7d 6c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
7d 6c 4c,0.00001,22.72,-45.9112,-112.28,77.28,1099.84,130.562,29.75,70.25
7d 6c 5c,0.00005,17.65,-62.8513,-197.826,82.35,1119.49,124.719,26.77,73.23
7h 7d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 7d 3c,0,9.51,-88.9447,-519.468,90.49,1152.14,116.813,19.57,80.43
7h 7d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 7d 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 7d 6c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 2d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 3d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 3d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 4d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 4d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 4d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 5d 5c,0.00001,11.81,-77.1315,-362.727,88.19,1142.05,118.811,17.68,82.32
7h 5d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 5d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 5d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 6d 6c,0,14.54,-69.0393,-263.845,85.46,1135.01,121.839,16.52,83.48
7h 6d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 6d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 6d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 6d 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 2d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 3c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 3c 2d,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 3d 3c,0.00002,13.33,-100.584,-419.241,86.67,1161.93,122.993,21.60,78.40
8c 3d 2c,0,12.65,-148.733,-652.974,87.35,1204.89,126.554,27.30,72.70
8c 4c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 4c 2d,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 4c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 4c 3d,0.00001,23.92,-39.4829,-91.6989,76.08,1095.88,132.15,27.03,72.97
8c 4d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 4d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 4d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 5c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 5c 2d,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 5c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 5c 3d,0,nan,nan,nan,nan,nan,nan,nan,nan
