Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\3d3h2c.cfr
Action Line,Root BET 15 RAISE 60 RAISE 150
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 970 freq,RAISE 330 freq,CALL freq,FOLD freq
6c 4c 2d,0.27363,58.27,188.84,120.031,41.73,54.4314,72.4624,4.32,7.82,45.19,42.67
6c 4c 3c,0.32662,61.41,191.985,115.783,38.59,55.5585,79.9904,0.00,5.09,48.51,46.40
6c 4c 3d,0.02381,57.62,194.447,124.977,42.38,49.0971,64.3675,6.06,6.75,44.09,43.11
6c 4d 4c,0.72365,59.74,193.865,120.184,40.26,52.4682,72.4079,0.00,7.39,48.31,44.30
6c 4d 2c,0.33383,58.03,187.863,119.905,41.97,55.2004,73.066,5.73,6.69,45.11,42.46
6c 4d 3c,0.03171,57.59,194.222,124.903,42.41,49.2364,64.5006,6.75,6.51,43.74,43.00
6c 5c 2c,0.39072,61.40,191.633,115.594,38.60,56.0379,80.6545,0.01,4.35,49.86,45.79
6c 5c 2d,0.16871,58.25,188.296,119.716,41.75,54.047,71.9257,4.77,6.84,48.29,40.09
6c 5c 3c,0.30978,61.28,191.328,115.637,38.72,56.1995,80.6349,0.00,5.19,48.43,46.38
6c 5c 3d,0.05284,58.31,194.994,123.856,41.69,47.5456,63.3583,5.25,5.54,49.07,40.14
6c 5c 4c,0.27199,61.01,191.263,116.104,38.99,56.1997,80.0822,0.00,8.63,43.84,47.53
6c 5c 4d,0.00037,58.38,203.312,128.978,41.62,39.341,52.5169,2.08,9.95,47.01,40.96
6c 5d 5c,0.64951,60.13,194.421,119.751,39.87,52.3607,72.9624,0.00,7.15,48.05,44.80
6c 5d 2c,0.21436,57.63,187.301,120.379,42.37,54.7653,71.8027,7.74,4.94,46.80,40.52
6c 5d 3c,0.07589,58.09,193.812,123.579,41.91,48.7249,64.5835,7.34,4.05,48.51,40.10
